# Value  before after
0.0 222.0 222.0
19.67 1.0 0.0
20.33 1.0 1.0
21.17 0.0 1.0
21.56 1.0 0.0
21.78 0.0 1.0
25.0 1.0 0.0
26.14 1.0 0.0
26.67 0.0 1.0
26.86 0.0 1.0
27.57 1.0 0.0
27.67 1.0 0.0
27.86 0.0 1.0
29.0 1.0 0.0
29.33 0.0 1.0
29.5 0.0 1.0
29.57 1.0 0.0
29.86 0.0 1.0
29.91 1.0 0.0
30.0 1.0 0.0
30.33 1.0 0.0
30.36 0.0 1.0
30.5 1.0 0.0
30.67 0.0 1.0
30.83 0.0 1.0
31.0 1.0 1.0
33.67 0.0 1.0
34.0 1.0 0.0
34.17 1.0 0.0
34.5 0.0 1.0
35.14 1.0 0.0
35.75 0.0 1.0
36.0 1.0 0.0
36.14 0.0 1.0
36.5 0.0 1.0
37.0 1.0 0.0
37.11 1.0 0.0
37.17 1.0 0.0
37.25 1.0 0.0
37.67 0.0 1.0
37.75 0.0 1.0
37.78 0.0 1.0
37.92 1.0 0.0
38.0 0.0 1.0
39.0 1.0 1.0
39.14 1.0 0.0
39.43 0.0 1.0
40.33 1.0 0.0
40.67 1.0 0.0
40.75 1.0 0.0
41.25 0.0 1.0
41.33 1.0 1.0
41.67 1.0 0.0
42.0 2.0 2.0
42.33 0.0 1.0
42.5 0.0 1.0
42.75 1.0 0.0
43.0 1.0 0.0
43.25 0.0 1.0
43.33 2.0 0.0
43.67 1.0 1.0
44.0 1.0 2.0
44.33 1.0 1.0
44.5 1.0 0.0
44.86 1.0 0.0
45.0 0.0 3.0
45.14 0.0 1.0
45.33 0.0 1.0
45.67 2.0 0.0
46.0 1.0 0.0
46.33 0.0 2.0
46.5 1.0 0.0
48.0 2.0 1.0
48.33 2.0 0.0
48.5 0.0 1.0
48.67 0.0 1.0
49.0 1.0 1.0
49.33 1.0 0.0
49.56 1.0 0.0
49.67 0.0 2.0
49.75 1.0 0.0
49.83 1.0 0.0
50.0 3.0 2.0
50.17 0.0 1.0
50.25 0.0 1.0
50.33 1.0 0.0
50.67 1.0 1.0
51.67 0.0 1.0
51.83 0.0 1.0
52.0 0.0 1.0
52.11 1.0 0.0
52.17 1.0 0.0
52.33 0.0 1.0
52.5 1.0 0.0
52.67 2.0 0.0
53.0 3.0 1.0
53.29 0.0 1.0
53.33 2.0 2.0
53.5 0.0 1.0
53.67 1.0 0.0
53.83 0.0 1.0
54.0 0.0 1.0
54.33 0.0 2.0
54.75 1.0 0.0
55.0 2.0 1.0
55.25 0.0 1.0
55.29 1.0 0.0
55.33 2.0 0.0
55.67 1.0 2.0
56.0 2.0 1.0
56.33 2.0 2.0
56.67 2.0 0.0
56.89 0.0 1.0
57.0 0.0 3.0
57.33 1.0 0.0
57.57 0.0 1.0
57.67 1.0 2.0
58.0 1.0 2.0
58.33 2.0 1.0
58.67 1.0 0.0
59.0 0.0 2.0
59.33 1.0 1.0
59.62 1.0 0.0
59.67 1.0 0.0
60.0 3.0 1.0
60.12 0.0 1.0
60.33 1.0 1.0
60.67 1.0 2.0
61.0 4.0 2.0
61.67 0.0 1.0
62.0 2.0 1.0
62.33 1.0 1.0
62.67 2.0 1.0
63.0 2.0 3.0
63.33 1.0 2.0
63.67 1.0 0.0
64.0 2.0 2.0
64.33 2.0 0.0
64.67 1.0 1.0
64.71 1.0 0.0
65.0 3.0 4.0
65.33 2.0 2.0
65.67 2.0 0.0
66.0 5.0 5.0
66.22 1.0 0.0
66.33 0.0 2.0
66.5 1.0 1.0
66.78 0.0 1.0
66.83 0.0 1.0
67.0 1.0 0.0
67.33 2.0 0.0
67.5 1.0 0.0
67.67 1.0 1.0
67.71 1.0 0.0
68.0 0.0 6.0
68.33 0.0 1.0
68.67 1.0 1.0
69.0 7.0 1.0
69.33 1.0 0.0
70.0 1.0 3.0
70.14 1.0 0.0
70.29 1.0 0.0
70.33 1.0 0.0
70.43 1.0 0.0
70.5 1.0 0.0
70.57 0.0 1.0
70.67 0.0 3.0
71.0 3.0 5.0
71.14 0.0 1.0
71.33 2.0 1.0
72.0 5.0 1.0
72.22 1.0 0.0
72.25 1.0 0.0
72.33 2.0 0.0
72.44 0.0 1.0
72.5 1.0 0.0
72.67 1.0 0.0
72.75 0.0 1.0
72.83 0.0 1.0
73.0 2.0 4.0
73.17 1.0 0.0
73.33 0.0 1.0
73.5 0.0 1.0
74.0 2.0 7.0
74.33 1.0 0.0
74.5 1.0 0.0
74.67 1.0 2.0
74.75 1.0 0.0
74.83 0.0 1.0
75.0 5.0 2.0
75.17 1.0 0.0
75.25 0.0 1.0
75.29 0.0 1.0
75.33 1.0 0.0
75.57 1.0 0.0
75.67 1.0 1.0
76.0 3.0 5.0
76.29 0.0 1.0
76.33 0.0 1.0
76.5 2.0 0.0
76.67 0.0 1.0
76.83 1.0 0.0
77.0 10.0 5.0
77.17 0.0 1.0
77.29 1.0 0.0
77.33 3.0 1.0
77.57 0.0 1.0
77.67 1.0 2.0
78.0 1.0 6.0
78.25 0.0 1.0
78.33 1.0 1.0
78.43 1.0 0.0
79.0 2.0 7.0
79.17 1.0 0.0
79.5 1.0 2.0
80.0 1.0 3.0
80.33 5.0 0.0
80.5 1.0 0.0
80.67 1.0 0.0
81.0 2.0 3.0
81.33 0.0 2.0
81.67 1.0 0.0
82.0 1.0 3.0
82.33 1.0 1.0
82.67 1.0 0.0
82.75 1.0 0.0
83.0 2.0 3.0
83.25 1.0 0.0
83.33 1.0 0.0
83.67 0.0 1.0
83.75 0.0 1.0
83.86 1.0 0.0
84.0 2.0 3.0
84.14 0.0 1.0
84.5 0.0 1.0
84.67 1.0 0.0
84.86 0.0 1.0
85.0 4.0 3.0
85.5 1.0 0.0
86.0 4.0 2.0
86.33 1.0 0.0
86.5 1.0 0.0
86.67 3.0 2.0
87.0 6.0 5.0
87.17 1.0 1.0
87.33 0.0 1.0
87.5 1.0 1.0
87.83 0.0 1.0
88.0 6.0 3.0
88.33 2.0 0.0
88.67 0.0 4.0
89.0 3.0 8.0
89.5 1.0 0.0
89.71 1.0 0.0
90.0 9.0 4.0
90.33 1.0 0.0
90.67 0.0 1.0
90.71 1.0 0.0
91.0 5.0 6.0
91.67 1.0 1.0
91.75 1.0 0.0
92.0 7.0 7.0
92.25 0.0 1.0
92.33 1.0 1.0
92.67 1.0 0.0
93.0 4.0 4.0
93.33 0.0 1.0
93.5 1.0 0.0
93.67 0.0 1.0
94.0 6.0 2.0
94.33 1.0 0.0
94.43 1.0 0.0
94.67 0.0 1.0
94.71 0.0 1.0
94.75 0.0 1.0
95.0 3.0 4.0
95.67 2.0 1.0
96.0 8.0 5.0
96.33 4.0 2.0
96.67 0.0 1.0
96.71 0.0 1.0
97.0 4.0 9.0
97.33 2.0 0.0
97.67 0.0 2.0
98.0 7.0 5.0
98.33 4.0 0.0
98.67 1.0 1.0
99.0 7.0 7.0
99.33 0.0 1.0
99.67 1.0 1.0
100.0 7.0 6.0
100.33 0.0 2.0
100.67 0.0 2.0
101.0 4.0 6.0
102.0 5.0 6.0
102.33 1.0 0.0
102.5 0.0 1.0
102.67 4.0 0.0
103.0 3.0 4.0
103.33 0.0 4.0
103.67 1.0 0.0
104.0 4.0 3.0
104.33 1.0 1.0
104.67 0.0 1.0
105.0 4.0 7.0
105.22 1.0 0.0
105.67 1.0 1.0
105.78 0.0 1.0
106.0 9.0 4.0
106.33 0.0 1.0
106.67 0.0 2.0
107.0 7.0 5.0
107.33 2.0 1.0
107.67 2.0 1.0
108.0 7.0 5.0
108.33 2.0 2.0
108.67 4.0 0.0
109.0 3.0 6.0
109.33 0.0 3.0
109.67 1.0 3.0
110.0 9.0 7.0
110.33 2.0 2.0
110.5 1.0 1.0
111.0 3.0 4.0
111.67 0.0 2.0
112.0 5.0 5.0
112.33 1.0 1.0
112.67 0.0 3.0
113.0 5.0 2.0
113.33 3.0 0.0
113.67 3.0 1.0
114.0 5.0 7.0
114.17 1.0 0.0
114.33 3.0 0.0
114.5 1.0 1.0
115.0 4.0 8.0
115.33 1.0 0.0
115.67 3.0 0.0
116.0 7.0 5.0
116.33 2.0 4.0
116.67 0.0 1.0
117.0 3.0 6.0
117.33 1.0 0.0
118.0 6.0 8.0
118.33 2.0 0.0
118.67 1.0 2.0
119.0 6.0 7.0
119.33 1.0 0.0
119.67 1.0 0.0
119.75 1.0 0.0
120.0 11.0 3.0
120.25 0.0 1.0
120.33 1.0 2.0
120.5 1.0 0.0
120.67 0.0 2.0
121.0 5.0 6.0
121.33 2.0 1.0
122.0 6.0 9.0
122.33 1.0 0.0
122.67 2.0 2.0
123.0 3.0 5.0
123.33 1.0 2.0
123.67 0.0 2.0
124.0 6.0 7.0
124.33 1.0 0.0
125.0 5.0 7.0
125.33 1.0 1.0
125.67 0.0 1.0
126.0 6.0 5.0
126.67 1.0 2.0
127.0 6.0 4.0
127.33 0.0 1.0
127.67 0.0 1.0
128.0 7.0 6.0
128.33 1.0 0.0
129.0 7.0 6.0
129.33 2.0 0.0
129.5 1.0 0.0
129.67 1.0 0.0
130.0 7.0 9.0
130.33 4.0 1.0
130.67 0.0 4.0
131.0 3.0 7.0
132.0 4.0 3.0
132.33 1.0 0.0
133.0 5.0 6.0
133.33 1.0 0.0
133.67 0.0 2.0
133.75 1.0 0.0
134.0 3.0 8.0
134.25 0.0 1.0
134.67 1.0 2.0
135.0 2.0 1.0
135.33 1.0 1.0
136.0 4.0 3.0
136.25 1.0 0.0
136.67 2.0 0.0
137.0 8.0 4.0
137.33 1.0 1.0
137.75 0.0 1.0
138.0 6.0 3.0
138.33 1.0 0.0
138.67 0.0 3.0
139.0 6.0 6.0
139.33 1.0 0.0
139.67 2.0 1.0
140.0 5.0 5.0
140.33 0.0 2.0
141.0 7.0 7.0
141.33 2.0 0.0
141.67 0.0 2.0
142.0 2.0 5.0
142.33 1.0 0.0
142.67 2.0 0.0
142.83 1.0 0.0
143.0 3.0 10.0
143.17 0.0 1.0
143.33 1.0 2.0
143.67 1.0 0.0
144.0 9.0 2.0
144.33 3.0 2.0
144.67 0.0 2.0
145.0 6.0 2.0
145.67 0.0 4.0
146.0 5.0 7.0
146.33 2.0 0.0
146.67 2.0 1.0
147.0 2.0 5.0
147.33 1.0 2.0
148.0 5.0 5.0
148.67 1.0 0.0
149.0 7.0 5.0
149.33 0.0 1.0
149.67 2.0 0.0
150.0 5.0 5.0
150.33 1.0 1.0
150.67 0.0 2.0
151.0 6.0 6.0
151.33 1.0 1.0
151.67 1.0 2.0
152.0 6.0 3.0
152.33 0.0 1.0
153.0 6.0 5.0
153.33 1.0 0.0
154.0 5.0 6.0
154.33 1.0 0.0
154.67 0.0 1.0
155.0 4.0 6.0
155.33 1.0 0.0
156.0 2.0 4.0
156.67 1.0 0.0
156.75 1.0 0.0
157.0 4.0 5.0
157.67 0.0 3.0
158.0 4.0 4.0
158.33 1.0 1.0
158.5 0.0 1.0
158.67 1.0 0.0
159.0 8.0 3.0
159.33 1.0 1.0
159.67 1.0 0.0
160.0 4.0 3.0
160.25 0.0 1.0
160.67 2.0 1.0
161.0 1.0 4.0
161.25 1.0 0.0
161.33 0.0 3.0
161.67 1.0 0.0
162.0 6.0 3.0
162.33 1.0 0.0
162.5 0.0 1.0
162.67 1.0 1.0
163.0 4.0 3.0
163.33 0.0 2.0
