# Value  before after
0.0 6.0 2.0
7.98 1.0 0.0
10.92 0.0 1.0
12.75 1.0 0.0
15.07 1.0 0.0
16.53 0.0 1.0
16.75 1.0 0.0
17.17 1.0 0.0
17.41 1.0 0.0
18.9 1.0 0.0
19.0 1.0 0.0
19.58 1.0 1.0
19.63 0.0 1.0
19.84 1.0 0.0
19.89 0.0 1.0
20.6 1.0 0.0
20.66 0.0 1.0
21.25 0.0 1.0
21.39 1.0 0.0
21.67 1.0 0.0
21.7 1.0 0.0
22.5 1.0 0.0
22.53 1.0 0.0
22.56 1.0 0.0
22.67 1.0 0.0
24.33 1.0 0.0
24.59 1.0 0.0
24.67 1.0 0.0
26.09 1.0 0.0
26.17 1.0 0.0
26.22 1.0 0.0
27.0 1.0 0.0
27.17 1.0 0.0
27.4 0.0 1.0
28.0 1.0 0.0
28.29 1.0 0.0
28.33 1.0 0.0
29.6 0.0 1.0
29.72 1.0 0.0
30.19 0.0 1.0
30.47 0.0 1.0
30.54 1.0 0.0
30.77 1.0 0.0
31.0 1.0 0.0
31.12 0.0 1.0
31.53 1.0 0.0
31.58 0.0 1.0
31.92 0.0 1.0
33.12 0.0 1.0
33.4 1.0 0.0
33.67 1.0 0.0
33.76 0.0 1.0
35.15 0.0 1.0
35.67 1.0 0.0
36.1 0.0 1.0
36.2 0.0 1.0
37.5 1.0 0.0
38.0 1.0 0.0
39.33 1.0 0.0
39.73 0.0 1.0
39.83 1.0 0.0
39.93 0.0 1.0
40.0 1.0 1.0
40.33 1.0 0.0
40.67 1.0 1.0
41.5 0.0 1.0
42.04 0.0 1.0
42.75 1.0 0.0
42.8 0.0 1.0
43.0 1.0 0.0
43.5 1.0 0.0
46.67 1.0 0.0
47.33 2.0 0.0
47.67 1.0 0.0
48.0 0.0 1.0
48.35 0.0 1.0
49.17 2.0 0.0
49.33 1.0 0.0
49.83 1.0 0.0
49.93 1.0 0.0
50.18 0.0 1.0
50.44 1.0 0.0
52.0 1.0 0.0
52.33 0.0 1.0
52.38 0.0 1.0
53.0 0.0 1.0
53.18 0.0 1.0
53.6 0.0 1.0
54.0 1.0 0.0
56.33 1.0 0.0
56.77 1.0 0.0
56.8 0.0 1.0
57.38 0.0 1.0
57.8 0.0 1.0
59.33 1.0 0.0
59.4 0.0 1.0
59.67 1.0 0.0
60.0 1.0 0.0
60.6 0.0 1.0
60.75 1.0 0.0
61.17 0.0 1.0
61.67 0.0 1.0
62.2 0.0 1.0
62.5 0.0 1.0
62.67 1.0 0.0
63.0 0.0 1.0
63.67 0.0 1.0
64.33 1.0 0.0
64.88 0.0 1.0
66.67 1.0 0.0
66.83 0.0 1.0
67.4 0.0 1.0
67.75 1.0 0.0
68.2 0.0 1.0
68.91 0.0 1.0
69.0 0.0 1.0
69.2 0.0 1.0
72.5 0.0 1.0
73.67 1.0 0.0
74.0 0.0 1.0
74.67 1.0 0.0
75.62 0.0 1.0
75.67 0.0 1.0
76.0 1.0 0.0
77.62 0.0 1.0
79.4 0.0 1.0
80.0 1.0 0.0
80.5 0.0 1.0
80.67 0.0 1.0
82.0 0.0 2.0
82.33 0.0 1.0
83.6 0.0 1.0
84.33 0.0 1.0
88.33 1.0 0.0
89.22 0.0 1.0
92.2 0.0 1.0
94.0 0.0 1.0
95.67 1.0 0.0
96.0 2.0 0.0
97.0 0.0 1.0
99.4 0.0 1.0
101.0 1.0 0.0
101.33 0.0 1.0
104.33 0.0 1.0
106.0 0.0 1.0
106.4 0.0 1.0
106.67 0.0 1.0
111.0 0.0 1.0
111.75 0.0 1.0
112.0 0.0 1.0
114.0 1.0 0.0
117.0 1.0 0.0
118.0 1.0 0.0
120.67 0.0 1.0
122.6 0.0 1.0
125.2 0.0 1.0
126.67 0.0 1.0
128.67 0.0 1.0
129.0 1.0 0.0
131.83 1.0 0.0
134.33 0.0 1.0
140.67 0.0 1.0
145.0 2.0 0.0
148.0 1.0 0.0
149.0 1.0 0.0
149.8 0.0 1.0
150.0 1.0 0.0
153.0 1.0 0.0
154.0 0.0 1.0
156.0 0.0 1.0
175.0 1.0 0.0
189.0 1.0 0.0
190.0 1.0 0.0
192.0 1.0 0.0
196.64 0.0 1.0
197.0 0.0 1.0
201.92 0.0 1.0
203.0 0.0 1.0
206.0 1.0 0.0
209.6 0.0 1.0
224.0 0.0 1.0
237.0 1.0 0.0
239.0 1.0 0.0
296.0 1.0 0.0
351.67 0.0 1.0
383.17 0.0 1.0
433.0 0.0 1.0
463.0 1.0 0.0
465.0 0.0 1.0
523.0 0.0 1.0
713.0 0.0 1.0
855.0 0.0 1.0
1391.0 0.0 1.0
