# Value  before after
0.0 7.0 0.0
1.0 66.0 1.0
2.0 1.0 0.0
3.0 0.0 1.0
9.0 0.0 1.0
11.0 2.0 0.0
12.0 3.0 0.0
13.0 1.0 0.0
14.0 2.0 0.0
15.0 1.0 0.0
16.0 1.0 0.0
17.0 2.0 0.0
19.0 2.0 0.0
20.0 3.0 0.0
21.0 1.0 0.0
25.0 1.0 0.0
27.0 1.0 0.0
28.0 1.0 0.0
29.0 1.0 0.0
31.0 1.0 0.0
34.0 0.0 1.0
36.0 0.0 1.0
41.0 1.0 1.0
43.0 0.0 1.0
45.0 0.0 1.0
47.0 1.0 0.0
50.0 1.0 0.0
52.0 0.0 1.0
53.0 1.0 0.0
57.0 2.0 1.0
61.0 0.0 1.0
67.0 0.0 2.0
73.0 0.0 1.0
77.0 0.0 2.0
81.0 0.0 1.0
82.0 1.0 0.0
89.0 0.0 1.0
91.0 0.0 2.0
95.0 0.0 2.0
97.0 0.0 1.0
98.0 0.0 1.0
105.0 0.0 1.0
107.0 0.0 1.0
124.0 0.0 1.0
126.0 0.0 2.0
127.0 0.0 1.0
128.0 0.0 1.0
131.0 0.0 1.0
140.0 0.0 1.0
143.0 0.0 1.0
146.0 0.0 2.0
147.0 0.0 1.0
153.0 0.0 1.0
156.0 0.0 1.0
170.0 0.0 1.0
177.0 0.0 1.0
179.0 0.0 1.0
181.0 0.0 2.0
192.0 0.0 1.0
194.0 0.0 1.0
201.0 0.0 1.0
202.0 0.0 1.0
210.0 0.0 1.0
214.0 0.0 1.0
215.0 0.0 1.0
223.0 0.0 1.0
224.0 0.0 1.0
227.0 0.0 1.0
228.0 0.0 1.0
232.0 0.0 1.0
233.0 0.0 1.0
234.0 0.0 1.0
238.0 0.0 1.0
241.0 0.0 1.0
248.0 0.0 1.0
257.0 0.0 1.0
265.0 0.0 1.0
270.0 0.0 1.0
277.0 0.0 1.0
302.0 0.0 1.0
307.0 0.0 1.0
309.0 0.0 1.0
311.0 0.0 1.0
315.0 0.0 1.0
339.0 0.0 1.0
348.0 0.0 2.0
349.0 0.0 1.0
350.0 0.0 1.0
351.0 0.0 1.0
355.0 0.0 1.0
369.0 0.0 1.0
372.0 0.0 1.0
380.0 0.0 1.0
391.0 0.0 1.0
404.0 0.0 1.0
449.0 0.0 1.0
461.0 0.0 1.0
465.0 0.0 1.0
521.0 0.0 1.0
541.0 0.0 1.0
558.0 0.0 1.0
605.0 0.0 1.0
667.0 0.0 1.0
711.0 0.0 1.0
757.0 0.0 1.0
760.0 0.0 1.0
868.0 0.0 1.0
938.0 0.0 1.0
943.0 0.0 1.0
944.0 0.0 1.0
1162.0 0.0 1.0
1389.0 0.0 1.0
1412.0 0.0 1.0
1507.0 0.0 1.0
1653.0 0.0 1.0
1866.0 0.0 1.0
2313.0 0.0 1.0
