# Value  before after
0.0 1.0 0.0
0.56 1.0 1.0
0.66 1.0 0.0
1.11 1.0 0.0
1.13 1.0 0.0
1.17 1.0 0.0
1.26 1.0 0.0
1.31 2.0 0.0
1.34 1.0 0.0
1.36 2.0 0.0
1.37 0.0 1.0
1.43 1.0 0.0
1.5 1.0 0.0
1.62 2.0 0.0
1.64 1.0 0.0
1.67 1.0 0.0
1.77 1.0 0.0
1.79 1.0 0.0
1.81 1.0 0.0
1.87 1.0 0.0
1.88 1.0 0.0
1.94 1.0 0.0
1.95 0.0 1.0
2.04 1.0 0.0
2.19 1.0 0.0
2.43 0.0 1.0
2.5 0.0 1.0
2.53 0.0 1.0
2.54 1.0 0.0
2.57 0.0 1.0
2.58 1.0 0.0
2.65 1.0 0.0
2.66 1.0 0.0
2.67 0.0 1.0
2.68 1.0 0.0
2.73 1.0 0.0
2.74 1.0 0.0
2.76 1.0 0.0
2.8 1.0 0.0
2.83 1.0 0.0
2.85 1.0 0.0
2.88 1.0 0.0
2.91 1.0 1.0
2.96 1.0 0.0
3.0 1.0 0.0
3.11 0.0 1.0
3.12 0.0 1.0
3.15 0.0 1.0
3.19 2.0 1.0
3.21 1.0 0.0
3.23 1.0 0.0
3.27 0.0 1.0
3.29 1.0 0.0
3.3 0.0 1.0
3.36 2.0 0.0
3.49 1.0 0.0
3.51 1.0 0.0
3.52 0.0 1.0
3.55 0.0 1.0
3.58 3.0 0.0
3.61 2.0 0.0
3.64 1.0 0.0
3.69 1.0 0.0
3.73 0.0 1.0
3.8 1.0 0.0
3.83 0.0 1.0
3.85 1.0 0.0
3.87 1.0 0.0
3.89 1.0 0.0
3.95 1.0 0.0
3.96 1.0 0.0
3.97 1.0 0.0
4.0 1.0 0.0
4.16 0.0 1.0
4.17 1.0 0.0
4.21 0.0 2.0
4.22 1.0 0.0
4.24 0.0 1.0
4.25 0.0 1.0
4.27 0.0 1.0
4.35 0.0 1.0
4.4 0.0 1.0
4.41 1.0 0.0
4.45 1.0 0.0
4.54 1.0 0.0
4.61 0.0 1.0
4.62 1.0 0.0
4.65 0.0 1.0
4.67 1.0 0.0
4.69 0.0 1.0
4.72 1.0 1.0
4.75 1.0 0.0
4.76 0.0 1.0
4.93 1.0 0.0
4.94 0.0 1.0
4.96 0.0 1.0
5.05 0.0 1.0
5.06 1.0 0.0
5.19 1.0 0.0
5.23 0.0 1.0
5.28 1.0 0.0
5.36 1.0 0.0
5.42 0.0 1.0
5.47 0.0 1.0
5.48 1.0 0.0
5.51 0.0 1.0
5.53 0.0 1.0
5.78 1.0 0.0
5.82 0.0 1.0
5.85 0.0 1.0
5.92 0.0 1.0
6.0 0.0 1.0
6.12 0.0 1.0
6.13 0.0 1.0
6.25 0.0 1.0
6.26 1.0 0.0
6.33 1.0 0.0
6.55 0.0 1.0
6.59 1.0 0.0
6.69 1.0 0.0
6.8 0.0 1.0
6.91 0.0 1.0
7.07 1.0 0.0
7.08 2.0 0.0
7.1 0.0 1.0
7.12 0.0 1.0
7.18 0.0 1.0
7.21 0.0 1.0
7.27 0.0 1.0
7.28 0.0 1.0
7.3 1.0 0.0
7.4 0.0 1.0
7.48 0.0 1.0
7.49 0.0 1.0
7.51 0.0 1.0
7.7 0.0 1.0
7.86 0.0 1.0
7.93 0.0 1.0
8.29 0.0 1.0
8.31 0.0 1.0
9.02 0.0 1.0
9.12 1.0 0.0
9.46 0.0 1.0
9.48 1.0 1.0
9.64 1.0 0.0
9.91 1.0 0.0
10.03 0.0 1.0
10.05 0.0 1.0
10.33 1.0 0.0
10.47 0.0 1.0
11.8 0.0 1.0
11.9 1.0 0.0
12.21 0.0 1.0
12.67 0.0 1.0
12.79 0.0 1.0
13.08 1.0 0.0
13.78 0.0 1.0
13.8 0.0 1.0
14.46 1.0 0.0
15.12 0.0 1.0
15.35 0.0 1.0
15.77 0.0 1.0
15.92 1.0 0.0
17.0 1.0 0.0
17.71 0.0 1.0
18.11 0.0 1.0
18.5 0.0 1.0
18.75 0.0 1.0
19.0 0.0 1.0
19.04 0.0 1.0
19.07 1.0 0.0
19.69 0.0 1.0
20.45 0.0 1.0
21.48 0.0 1.0
22.33 1.0 1.0
22.92 0.0 1.0
25.31 0.0 1.0
25.94 1.0 0.0
26.06 0.0 1.0
28.1 0.0 1.0
28.5 0.0 1.0
32.42 1.0 0.0
32.5 0.0 2.0
34.67 1.0 0.0
35.84 0.0 1.0
36.75 0.0 1.0
39.75 0.0 1.0
46.42 0.0 1.0
89.25 0.0 1.0
103.75 0.0 1.0
465.0 0.0 1.0
