# Value  before after
0.0 56.0 1.0
25.0 0.0 1.0
27.0 0.0 1.0
31.0 0.0 2.0
33.0 0.0 1.0
36.0 0.0 1.0
53.0 0.0 1.0
59.0 0.0 1.0
68.0 0.0 1.0
140.0 0.0 2.0
175.0 0.0 1.0
218.0 0.0 1.0
223.0 0.0 1.0
314.0 0.0 1.0
316.0 0.0 1.0
414.0 0.0 1.0
505.0 0.0 8.0
506.0 0.0 1.0
507.0 0.0 1.0
510.0 0.0 1.0
519.0 0.0 1.0
521.0 0.0 1.0
530.0 0.0 1.0
536.0 0.0 1.0
563.0 0.0 1.0
582.0 0.0 1.0
624.0 0.0 1.0
695.0 0.0 1.0
758.0 0.0 1.0
764.0 0.0 1.0
866.0 0.0 1.0
1009.0 0.0 1.0
1057.0 0.0 1.0
1060.0 0.0 1.0
1068.0 0.0 2.0
1114.0 0.0 1.0
1120.0 0.0 1.0
1206.0 0.0 1.0
1218.0 0.0 1.0
1239.0 0.0 1.0
1408.0 0.0 1.0
1617.0 0.0 1.0
1631.0 0.0 1.0
1726.0 0.0 1.0
2465.0 0.0 1.0
2571.0 0.0 1.0
