# Value  before after
0.25 1.0 0.0
0.3 0.0 1.0
0.36 1.0 0.0
0.37 1.0 1.0
0.39 0.0 1.0
0.52 2.0 0.0
0.55 0.0 1.0
0.6 1.0 1.0
0.61 1.0 0.0
0.66 2.0 0.0
0.68 1.0 0.0
0.69 1.0 1.0
0.74 0.0 1.0
0.75 2.0 0.0
0.76 1.0 0.0
0.78 2.0 1.0
0.79 0.0 1.0
0.8 0.0 1.0
0.82 0.0 1.0
0.83 1.0 1.0
0.85 1.0 1.0
0.86 2.0 1.0
0.87 1.0 0.0
0.88 2.0 0.0
0.92 2.0 0.0
0.93 1.0 0.0
0.96 1.0 0.0
0.97 1.0 0.0
0.99 1.0 0.0
1.01 1.0 2.0
1.03 0.0 1.0
1.05 1.0 0.0
1.07 2.0 1.0
1.09 1.0 0.0
1.11 1.0 0.0
1.12 2.0 0.0
1.13 1.0 0.0
1.14 1.0 0.0
1.19 1.0 0.0
1.24 1.0 0.0
1.27 2.0 0.0
1.33 2.0 0.0
1.39 0.0 1.0
1.46 0.0 2.0
1.57 0.0 1.0
1.6 1.0 0.0
1.74 0.0 1.0
1.77 0.0 1.0
1.83 0.0 1.0
2.0 3.0 0.0
2.56 0.0 1.0
2.6 0.0 1.0
2.8 0.0 1.0
4.0 2.0 0.0
4.16 0.0 1.0
4.21 0.0 1.0
5.07 0.0 1.0
5.52 0.0 1.0
6.27 0.0 1.0
8.72 0.0 1.0
12.84 0.0 1.0
13.16 0.0 1.0
17.3 0.0 1.0
18.78 0.0 1.0
21.26 0.0 1.0
21.44 0.0 1.0
25.64 0.0 1.0
30.66 0.0 1.0
37.0 0.0 1.0
42.91 0.0 1.0
52.5 0.0 1.0
78.86 0.0 1.0
169.67 0.0 1.0
243.0 0.0 1.0
327.0 0.0 1.0
389.0 0.0 1.0
529.0 0.0 1.0
