# Value  before after
3.0 2.0 0.0
4.0 3.0 1.0
5.0 1.0 4.0
6.0 0.0 1.0
8.0 1.0 0.0
9.0 1.0 1.0
12.0 0.0 1.0
15.0 1.0 0.0
17.0 0.0 1.0
27.0 1.0 0.0
29.0 0.0 1.0
34.0 1.0 0.0
35.0 0.0 1.0
41.0 1.0 0.0
43.0 0.0 1.0
50.0 1.0 0.0
51.0 0.0 1.0
60.0 1.0 0.0
62.0 2.0 1.0
63.0 0.0 1.0
65.0 0.0 1.0
90.0 1.0 0.0
93.0 0.0 1.0
94.0 1.0 0.0
95.0 0.0 1.0
148.0 1.0 0.0
149.0 0.0 1.0
157.0 1.0 0.0
158.0 0.0 1.0
171.0 1.0 0.0
172.0 0.0 1.0
199.0 1.0 0.0
200.0 0.0 1.0
299.0 1.0 0.0
301.0 0.0 1.0
362.0 1.0 0.0
363.0 0.0 1.0
384.0 1.0 0.0
386.0 0.0 1.0
422.0 1.0 0.0
423.0 0.0 1.0
823.0 1.0 0.0
828.0 0.0 1.0
950.0 1.0 0.0
952.0 0.0 1.0
1017.0 1.0 0.0
1019.0 0.0 1.0
1055.0 1.0 0.0
1056.0 0.0 1.0
1158.0 1.0 0.0
1160.0 0.0 1.0
1286.0 1.0 0.0
1288.0 0.0 1.0
1351.0 1.0 0.0
1354.0 0.0 1.0
1493.0 1.0 0.0
1494.0 0.0 1.0
1890.0 1.0 0.0
1891.0 0.0 1.0
2128.0 1.0 0.0
2129.0 0.0 1.0
2336.0 1.0 0.0
2337.0 0.0 1.0
3029.0 1.0 0.0
3030.0 0.0 1.0
3204.0 1.0 0.0
3205.0 0.0 1.0
4133.0 1.0 0.0
4134.0 0.0 1.0
4324.0 1.0 0.0
4329.0 0.0 1.0
5656.0 1.0 0.0
5657.0 0.0 1.0
6117.0 1.0 0.0
6118.0 0.0 1.0
7310.0 1.0 0.0
7312.0 0.0 1.0
7858.0 1.0 0.0
7859.0 0.0 1.0
8967.0 1.0 0.0
8968.0 0.0 1.0
10135.0 1.0 0.0
10137.0 0.0 1.0
10788.0 1.0 0.0
10790.0 0.0 1.0
21972.0 1.0 0.0
21975.0 0.0 1.0
25202.0 1.0 0.0
25203.0 0.0 1.0
26309.0 1.0 0.0
26310.0 0.0 1.0
