# Value  before after
0.0 1.0 1.0
2.0 1.0 0.0
3.0 1.0 1.0
4.0 1.0 1.0
5.0 0.0 1.0
20.67 1.0 0.0
21.33 0.0 1.0
26.0 1.0 0.0
26.33 0.0 1.0
31.2 1.0 0.0
31.4 0.0 1.0
33.5 1.0 0.0
34.0 0.0 1.0
40.75 1.0 0.0
41.0 0.0 1.0
48.5 1.0 0.0
49.0 0.0 1.0
63.0 1.0 0.0
63.33 0.0 1.0
65.2 1.0 0.0
65.4 0.0 1.0
91.8 1.0 0.0
92.0 0.0 1.0
94.0 1.0 0.0
94.5 0.0 1.0
99.5 1.0 0.0
100.0 0.0 1.0
101.0 1.0 0.0
101.5 0.0 1.0
110.0 1.0 0.0
111.0 0.0 1.0
124.5 1.0 0.0
125.0 1.0 1.0
125.5 0.0 1.0
141.0 1.0 0.0
141.5 0.0 1.0
165.5 1.0 0.0
166.0 0.0 1.0
166.5 1.0 0.0
167.0 0.0 1.0
169.0 1.0 0.0
169.5 0.0 1.0
170.5 1.0 0.0
171.0 0.0 1.0
177.5 1.0 0.0
178.0 0.0 1.0
187.0 1.0 0.0
187.5 0.0 1.0
203.0 1.0 0.0
204.0 0.0 1.0
225.0 1.0 0.0
226.0 0.0 1.0
300.0 1.0 0.0
301.0 0.0 1.0
326.0 1.0 0.0
327.0 0.0 1.0
