# Value  before after
0.0 1.0 1.0
0.98 1.0 0.0
1.02 0.0 1.0
1.07 1.0 0.0
1.13 0.0 1.0
1.71 1.0 0.0
1.76 0.0 1.0
1.83 1.0 0.0
1.9 0.0 1.0
2.02 2.0 0.0
2.06 0.0 1.0
2.12 0.0 1.0
2.24 1.0 0.0
2.26 1.0 0.0
2.34 1.0 2.0
2.41 1.0 0.0
2.46 0.0 1.0
2.49 0.0 1.0
2.63 1.0 0.0
2.67 1.0 0.0
2.68 0.0 1.0
2.75 0.0 1.0
2.78 1.0 0.0
2.87 0.0 1.0
2.94 1.0 0.0
2.98 2.0 0.0
3.01 0.0 1.0
3.02 0.0 1.0
3.03 0.0 1.0
3.23 1.0 0.0
3.29 0.0 1.0
3.61 1.0 0.0
3.67 0.0 1.0
4.42 1.0 0.0
4.51 0.0 1.0
4.52 1.0 0.0
4.57 2.0 0.0
4.6 1.0 0.0
4.64 0.0 2.0
4.79 0.0 1.0
4.87 0.0 1.0
4.94 1.0 0.0
5.02 1.0 0.0
5.06 1.0 0.0
5.1 1.0 1.0
5.16 0.0 1.0
5.18 0.0 1.0
5.19 0.0 1.0
5.22 1.0 0.0
5.43 0.0 1.0
5.48 1.0 0.0
5.61 1.0 0.0
5.72 0.0 1.0
5.75 0.0 1.0
6.15 1.0 0.0
6.21 0.0 1.0
6.55 1.0 0.0
6.6 1.0 0.0
6.69 1.0 0.0
6.72 0.0 1.0
7.0 1.0 1.0
7.09 0.0 1.0
7.15 1.0 0.0
7.18 1.0 0.0
7.2 1.0 0.0
7.27 0.0 1.0
7.29 0.0 1.0
7.33 1.0 0.0
7.37 0.0 1.0
7.47 1.0 0.0
7.63 0.0 1.0
7.82 0.0 1.0
8.08 1.0 0.0
8.2 0.0 1.0
8.44 1.0 0.0
8.6 0.0 1.0
8.7 0.0 1.0
8.73 1.0 0.0
8.89 1.0 0.0
8.94 0.0 1.0
9.06 1.0 0.0
9.25 0.0 1.0
9.28 1.0 0.0
9.32 0.0 1.0
9.45 0.0 1.0
9.94 1.0 0.0
10.11 0.0 1.0
10.61 1.0 0.0
10.8 0.0 1.0
10.86 1.0 0.0
11.0 0.0 1.0
11.26 1.0 0.0
11.5 0.0 1.0
11.72 1.0 0.0
11.77 1.0 0.0
11.97 0.0 1.0
12.08 0.0 1.0
13.2 1.0 0.0
13.4 0.0 1.0
13.42 1.0 0.0
13.57 1.0 0.0
13.67 0.0 1.0
13.77 1.0 0.0
14.0 1.0 0.0
14.04 1.0 0.0
14.23 0.0 1.0
14.25 1.0 0.0
14.38 0.0 1.0
14.7 1.0 0.0
15.0 0.0 1.0
15.25 0.0 1.0
15.38 1.0 0.0
15.5 1.0 0.0
15.58 0.0 1.0
