# Value  before after
0.0 1.0 0.0
1.0 0.0 1.0
5.0 1.0 0.0
6.0 0.0 1.0
17.0 2.0 0.0
18.0 1.0 2.0
19.0 1.0 1.0
20.0 1.0 1.0
21.0 4.0 1.0
22.0 2.0 4.0
23.0 3.0 2.0
24.0 1.0 3.0
25.0 8.0 1.0
26.0 5.0 8.0
27.0 7.0 5.0
28.0 6.0 7.0
29.0 3.0 6.0
30.0 9.0 3.0
31.0 5.0 9.0
32.0 2.0 5.0
33.0 2.0 2.0
34.0 5.0 2.0
35.0 6.0 5.0
36.0 1.0 6.0
37.0 2.0 1.0
38.0 4.0 2.0
39.0 3.0 3.0
40.0 4.0 4.0
41.0 1.0 4.0
42.0 3.0 1.0
43.0 2.0 3.0
44.0 3.0 2.0
45.0 3.0 3.0
46.0 0.0 3.0
47.0 3.0 0.0
48.0 3.0 3.0
49.0 2.0 2.0
50.0 0.0 3.0
51.0 4.0 0.0
52.0 0.0 4.0
53.0 1.0 0.0
54.0 0.0 1.0
55.0 2.0 0.0
56.0 0.0 2.0
57.0 1.0 0.0
58.0 0.0 1.0
60.0 1.0 0.0
61.0 1.0 1.0
62.0 2.0 1.0
63.0 3.0 2.0
64.0 1.0 3.0
65.0 0.0 1.0
68.0 1.0 0.0
69.0 1.0 1.0
70.0 1.0 1.0
71.0 0.0 1.0
73.0 2.0 0.0
74.0 0.0 2.0
76.0 1.0 0.0
77.0 0.0 1.0
79.0 1.0 0.0
80.0 0.0 1.0
89.0 1.0 0.0
90.0 0.0 1.0
