# Value  before after
0.0 1.0 1.0
0.63 1.0 1.0
0.85 1.0 0.0
1.25 1.0 0.0
1.37 1.0 0.0
1.42 1.0 0.0
1.45 1.0 0.0
1.51 1.0 0.0
1.54 1.0 0.0
1.57 1.0 0.0
1.58 0.0 1.0
1.62 1.0 0.0
1.64 1.0 0.0
1.65 1.0 0.0
1.68 1.0 0.0
1.85 1.0 0.0
1.86 1.0 0.0
1.88 1.0 0.0
1.95 1.0 0.0
2.06 1.0 0.0
2.07 0.0 1.0
2.08 1.0 0.0
2.18 2.0 0.0
2.22 1.0 0.0
2.24 1.0 0.0
2.28 1.0 0.0
2.44 1.0 0.0
2.67 0.0 1.0
2.71 0.0 1.0
2.86 0.0 1.0
2.94 0.0 1.0
2.95 0.0 1.0
2.97 1.0 0.0
3.0 1.0 0.0
3.01 1.0 0.0
3.04 1.0 0.0
3.08 2.0 0.0
3.17 1.0 0.0
3.23 1.0 0.0
3.26 0.0 1.0
3.27 1.0 0.0
3.45 1.0 0.0
3.46 0.0 1.0
3.47 1.0 0.0
3.51 1.0 0.0
3.52 1.0 0.0
3.55 0.0 1.0
3.56 0.0 1.0
3.62 0.0 1.0
3.69 2.0 0.0
3.78 1.0 0.0
3.79 1.0 0.0
3.81 1.0 0.0
3.84 0.0 1.0
3.89 1.0 0.0
3.95 0.0 1.0
4.0 1.0 0.0
4.03 0.0 1.0
4.06 1.0 0.0
4.12 1.0 0.0
4.16 1.0 0.0
4.18 1.0 0.0
4.2 1.0 0.0
4.28 0.0 1.0
4.29 0.0 1.0
4.33 1.0 0.0
4.39 2.0 0.0
4.42 1.0 0.0
4.49 1.0 0.0
4.55 1.0 0.0
4.57 0.0 1.0
4.6 1.0 0.0
4.62 0.0 1.0
4.69 1.0 0.0
4.71 1.0 0.0
4.77 1.0 0.0
4.81 1.0 0.0
4.84 0.0 2.0
4.86 0.0 1.0
5.09 0.0 1.0
5.1 1.0 0.0
5.15 0.0 1.0
5.2 1.0 0.0
5.27 1.0 0.0
5.3 1.0 0.0
5.33 0.0 1.0
5.34 0.0 1.0
5.35 0.0 1.0
5.6 1.0 0.0
5.63 1.0 0.0
5.67 0.0 2.0
5.7 0.0 1.0
5.76 1.0 0.0
5.82 1.0 1.0
5.86 1.0 0.0
5.95 0.0 1.0
6.01 0.0 2.0
6.04 0.0 1.0
6.13 1.0 0.0
6.23 1.0 0.0
6.27 0.0 1.0
6.37 0.0 1.0
6.47 1.0 1.0
6.53 1.0 0.0
6.65 1.0 0.0
6.67 1.0 0.0
6.95 0.0 1.0
7.02 0.0 1.0
7.22 0.0 1.0
7.31 0.0 1.0
7.33 1.0 0.0
7.39 1.0 0.0
7.42 0.0 1.0
7.44 1.0 0.0
7.55 0.0 1.0
7.61 1.0 0.0
7.91 0.0 1.0
8.09 0.0 1.0
8.12 0.0 1.0
8.36 0.0 1.0
8.39 0.0 1.0
8.42 1.0 0.0
8.44 1.0 0.0
8.45 0.0 2.0
8.47 1.0 0.0
9.1 0.0 1.0
9.16 0.0 1.0
9.21 0.0 1.0
9.32 2.0 0.0
9.34 0.0 1.0
9.38 0.0 1.0
9.41 0.0 1.0
9.51 0.0 1.0
9.57 0.0 1.0
9.65 0.0 1.0
9.68 1.0 0.0
9.73 0.0 1.0
9.85 1.0 0.0
9.98 0.0 1.0
10.39 0.0 1.0
10.54 0.0 1.0
10.65 0.0 1.0
11.05 0.0 1.0
11.92 1.0 0.0
12.1 0.0 1.0
12.82 1.0 0.0
13.09 0.0 1.0
13.14 0.0 1.0
13.62 1.0 1.0
14.88 0.0 1.0
15.0 1.0 0.0
15.5 1.0 0.0
15.76 0.0 1.0
16.27 0.0 1.0
17.0 1.0 0.0
17.7 0.0 1.0
18.62 0.0 1.0
18.65 0.0 1.0
19.0 1.0 0.0
19.17 0.0 1.0
19.29 1.0 0.0
19.62 1.0 0.0
20.5 0.0 1.0
21.0 0.0 1.0
22.81 0.0 1.0
22.96 0.0 1.0
23.29 0.0 1.0
23.68 0.0 1.0
23.88 1.0 0.0
24.72 0.0 1.0
25.39 0.0 1.0
26.91 0.0 1.0
27.64 0.0 1.0
28.32 0.0 1.0
28.6 1.0 0.0
30.45 0.0 1.0
33.11 0.0 1.0
36.56 0.0 1.0
38.92 1.0 0.0
39.0 0.0 1.0
39.08 0.0 1.0
39.33 0.0 1.0
43.22 1.0 0.0
43.33 0.0 1.0
44.47 0.0 1.0
49.78 0.0 1.0
51.0 1.0 0.0
61.89 0.0 1.0
67.0 1.0 0.0
73.5 0.0 1.0
79.5 0.0 1.0
104.0 1.0 0.0
178.5 0.0 1.0
207.5 0.0 1.0
