# Value  before after
0.0 5.0 0.0
1.0 67.0 0.0
2.0 1.0 1.0
9.0 0.0 1.0
11.0 2.0 0.0
12.0 3.0 0.0
13.0 1.0 0.0
14.0 2.0 0.0
15.0 1.0 0.0
16.0 1.0 0.0
17.0 2.0 0.0
19.0 2.0 0.0
20.0 3.0 0.0
21.0 1.0 0.0
27.0 1.0 0.0
28.0 2.0 0.0
29.0 1.0 0.0
31.0 1.0 0.0
34.0 0.0 1.0
36.0 0.0 1.0
41.0 1.0 1.0
43.0 0.0 1.0
45.0 0.0 1.0
47.0 1.0 0.0
50.0 1.0 0.0
52.0 0.0 1.0
53.0 1.0 0.0
57.0 2.0 1.0
61.0 0.0 1.0
65.0 1.0 0.0
66.0 0.0 1.0
67.0 0.0 2.0
73.0 0.0 1.0
77.0 0.0 2.0
81.0 0.0 1.0
82.0 1.0 0.0
83.0 0.0 1.0
89.0 0.0 1.0
91.0 0.0 2.0
95.0 0.0 2.0
97.0 0.0 1.0
98.0 0.0 1.0
105.0 0.0 1.0
107.0 0.0 1.0
124.0 0.0 1.0
126.0 0.0 2.0
127.0 0.0 1.0
128.0 0.0 1.0
131.0 0.0 1.0
140.0 0.0 2.0
143.0 0.0 1.0
146.0 0.0 2.0
147.0 0.0 1.0
148.0 0.0 1.0
149.0 0.0 1.0
150.0 0.0 7.0
151.0 0.0 13.0
152.0 0.0 13.0
153.0 0.0 8.0
154.0 0.0 1.0
156.0 0.0 2.0
162.0 0.0 1.0
163.0 0.0 3.0
164.0 0.0 3.0
166.0 0.0 1.0
167.0 0.0 1.0
174.0 0.0 1.0
175.0 0.0 1.0
176.0 0.0 1.0
181.0 0.0 1.0
191.0 0.0 1.0
199.0 0.0 1.0
200.0 0.0 1.0
203.0 0.0 1.0
205.0 0.0 1.0
208.0 0.0 1.0
