# Value  before after
274.88 1.0 0.0
275.38 0.0 1.0
276.0 1.0 0.0
276.5 0.0 1.0
279.5 1.0 0.0
279.62 1.0 0.0
280.0 0.0 1.0
280.12 0.0 1.0
283.38 1.0 0.0
283.88 0.0 1.0
286.62 1.0 0.0
287.12 0.0 1.0
288.5 1.0 0.0
289.0 0.0 1.0
309.75 1.0 0.0
310.25 0.0 1.0
311.62 1.0 0.0
311.75 1.0 0.0
312.12 0.0 1.0
312.25 0.0 1.0
312.38 1.0 0.0
312.75 1.0 0.0
312.88 1.0 1.0
313.25 0.0 1.0
313.38 0.0 1.0
313.75 1.0 0.0
313.88 1.0 0.0
314.25 1.0 1.0
314.5 1.0 1.0
314.62 1.0 0.0
314.75 0.0 1.0
315.0 0.0 1.0
315.12 0.0 1.0
315.25 2.0 0.0
315.62 1.0 0.0
315.75 0.0 2.0
315.88 1.0 0.0
316.12 0.0 1.0
316.25 1.0 0.0
316.38 0.0 1.0
316.88 0.0 1.0
317.62 1.0 0.0
318.12 0.0 1.0
318.25 1.0 0.0
318.75 0.0 1.0
321.12 1.0 0.0
321.62 0.0 1.0
322.88 1.0 0.0
323.38 0.0 1.0
337.5 1.0 0.0
338.0 0.0 1.0
338.88 1.0 0.0
339.38 0.0 1.0
340.88 1.0 0.0
341.25 1.0 0.0
341.38 1.0 1.0
341.75 0.0 1.0
341.88 0.0 1.0
342.88 1.0 0.0
343.38 0.0 1.0
344.5 1.0 0.0
344.88 1.0 0.0
345.0 0.0 1.0
345.25 1.0 0.0
345.38 0.0 1.0
345.75 1.0 1.0
346.25 0.0 1.0
346.38 1.0 0.0
347.12 0.0 1.0
347.62 1.0 0.0
348.12 0.0 1.0
348.38 1.0 0.0
348.75 1.0 0.0
349.25 0.0 1.0
349.38 0.0 1.0
353.88 1.0 0.0
354.88 0.0 1.0
355.88 2.0 0.0
356.38 0.0 1.0
356.88 1.0 1.0
357.38 0.0 1.0
359.0 1.0 0.0
359.5 0.0 1.0
364.25 1.0 0.0
364.75 0.0 1.0
368.0 1.0 0.0
368.5 0.0 1.0
372.25 1.0 0.0
372.62 1.0 0.0
372.88 1.0 0.0
373.12 0.0 1.0
373.25 0.0 1.0
373.62 0.0 1.0
374.25 1.0 0.0
374.62 2.0 0.0
374.75 0.0 1.0
375.0 1.0 0.0
