# Value  before after
0.0 75.0 0.0
2.0 3.0 0.0
4.0 2.0 69.0
5.0 0.0 3.0
6.0 1.0 4.0
7.0 0.0 2.0
8.0 0.0 1.0
9.0 1.0 1.0
10.0 0.0 1.0
13.0 4.0 1.0
14.0 8.0 0.0
15.0 9.0 0.0
16.0 4.0 0.0
17.0 4.0 4.0
18.0 7.0 8.0
19.0 6.0 8.0
20.0 1.0 5.0
21.0 2.0 4.0
22.0 2.0 7.0
23.0 2.0 6.0
24.0 0.0 1.0
25.0 0.0 2.0
26.0 3.0 2.0
27.0 0.0 2.0
28.0 1.0 0.0
29.0 1.0 0.0
30.0 2.0 1.0
31.0 0.0 1.0
32.0 0.0 1.0
33.0 1.0 2.0
34.0 1.0 1.0
35.0 1.0 1.0
38.0 0.0 2.0
39.0 1.0 0.0
40.0 0.0 1.0
44.0 0.0 1.0
45.0 1.0 0.0
50.0 0.0 1.0
63.0 1.0 0.0
69.0 0.0 1.0
