# Value  before after
5.46 1.0 0.0
5.48 0.0 1.0
5.78 1.0 0.0
5.81 0.0 1.0
6.14 1.0 0.0
6.17 0.0 1.0
6.3 1.0 0.0
6.31 0.0 1.0
6.35 1.0 0.0
6.38 0.0 1.0
6.46 1.0 0.0
6.48 0.0 1.0
6.84 1.0 0.0
6.86 0.0 1.0
6.91 1.0 0.0
6.93 0.0 1.0
7.12 1.0 0.0
7.14 0.0 1.0
7.51 1.0 0.0
7.54 1.0 0.0
7.55 0.0 1.0
7.56 0.0 1.0
7.76 1.0 0.0
7.78 0.0 1.0
7.85 1.0 0.0
7.87 0.0 1.0
8.04 1.0 0.0
8.06 1.0 0.0
8.07 0.0 1.0
8.09 0.0 1.0
8.1 1.0 0.0
8.12 1.0 0.0
8.13 0.0 1.0
8.16 0.0 1.0
8.23 1.0 0.0
8.24 1.0 0.0
8.26 0.0 2.0
8.29 1.0 0.0
8.32 0.0 1.0
8.62 1.0 0.0
8.64 1.0 0.0
8.66 0.0 2.0
8.68 1.0 0.0
8.72 0.0 1.0
8.83 1.0 0.0
8.85 0.0 1.0
8.93 1.0 0.0
8.97 0.0 1.0
8.99 1.0 0.0
9.03 0.0 1.0
9.1 1.0 0.0
9.14 0.0 1.0
9.22 1.0 0.0
9.24 1.0 0.0
9.25 1.0 1.0
9.28 0.0 1.0
9.3 0.0 1.0
9.89 1.0 0.0
9.94 0.0 1.0
10.37 1.0 0.0
10.39 1.0 0.0
10.41 0.0 1.0
10.42 0.0 1.0
10.52 1.0 0.0
10.55 0.0 1.0
10.89 1.0 0.0
10.94 0.0 1.0
11.0 1.0 0.0
11.04 0.0 1.0
11.09 1.0 0.0
11.11 1.0 0.0
11.15 1.0 0.0
11.16 0.0 2.0
11.18 0.0 1.0
11.26 1.0 0.0
11.31 0.0 1.0
11.46 1.0 0.0
11.5 0.0 1.0
11.52 1.0 0.0
11.53 1.0 0.0
11.56 0.0 1.0
11.61 0.0 1.0
11.75 1.0 0.0
11.79 0.0 1.0
11.95 1.0 0.0
11.98 0.0 1.0
12.13 1.0 0.0
12.18 0.0 1.0
12.24 1.0 0.0
12.28 1.0 1.0
12.31 0.0 1.0
12.36 1.0 0.0
12.37 2.0 0.0
12.41 0.0 1.0
12.42 0.0 1.0
12.43 0.0 1.0
12.52 1.0 0.0
12.56 0.0 1.0
12.6 1.0 0.0
12.61 1.0 0.0
12.66 0.0 1.0
12.68 0.0 1.0
13.15 1.0 0.0
13.2 0.0 1.0
13.59 1.0 0.0
13.65 0.0 1.0
13.71 1.0 0.0
13.73 1.0 0.0
13.77 0.0 2.0
14.19 1.0 0.0
14.25 0.0 1.0
14.27 1.0 0.0
14.34 1.0 0.0
14.35 0.0 1.0
14.41 0.0 1.0
14.98 1.0 0.0
15.02 0.0 1.0
15.57 1.0 0.0
15.65 0.0 1.0
15.67 1.0 0.0
15.75 2.0 1.0
15.8 0.0 1.0
15.82 0.0 1.0
15.86 1.0 0.0
15.96 1.0 0.0
16.0 0.0 1.0
16.04 0.0 1.0
16.36 1.0 0.0
16.42 0.0 1.0
16.57 1.0 0.0
16.64 0.0 1.0
16.81 1.0 0.0
16.87 0.0 1.0
17.74 1.0 0.0
17.83 0.0 1.0
17.85 1.0 0.0
17.87 1.0 0.0
17.92 0.0 1.0
17.96 1.0 1.0
18.01 0.0 1.0
18.28 1.0 0.0
18.37 0.0 1.0
18.55 1.0 0.0
18.63 0.0 1.0
19.0 1.0 0.0
19.04 1.0 0.0
19.06 0.0 1.0
19.12 0.0 1.0
19.48 1.0 0.0
19.57 0.0 1.0
19.69 1.0 0.0
19.76 0.0 1.0
20.05 1.0 0.0
20.16 0.0 1.0
20.83 1.0 0.0
20.9 0.0 1.0
21.02 1.0 0.0
21.08 0.0 1.0
21.13 1.0 0.0
21.21 0.0 1.0
21.43 1.0 0.0
21.49 1.0 0.0
21.54 0.0 1.0
21.56 0.0 1.0
21.73 1.0 0.0
21.81 0.0 1.0
22.0 1.0 0.0
22.09 1.0 0.0
22.11 0.0 1.0
22.21 0.0 1.0
22.65 1.0 0.0
22.75 0.0 1.0
23.08 1.0 0.0
23.19 0.0 1.0
23.65 1.0 0.0
23.88 0.0 1.0
23.9 1.0 0.0
23.98 0.0 1.0
25.76 1.0 0.0
25.81 1.0 0.0
25.83 1.0 0.0
25.86 0.0 1.0
25.97 0.0 1.0
26.06 0.0 1.0
26.17 1.0 0.0
26.34 0.0 1.0
26.5 1.0 0.0
26.68 0.0 1.0
26.74 1.0 0.0
26.89 0.0 1.0
27.58 1.0 0.0
27.69 0.0 1.0
30.27 1.0 0.0
30.38 0.0 1.0
30.6 1.0 0.0
30.7 0.0 1.0
31.32 1.0 0.0
31.41 0.0 1.0
31.7 1.0 0.0
32.1 0.0 1.0
33.72 1.0 0.0
33.88 0.0 1.0
35.43 1.0 0.0
35.54 0.0 1.0
35.81 1.0 0.0
36.0 0.0 1.0
36.48 1.0 0.0
36.67 1.0 1.0
36.86 0.0 1.0
38.0 1.0 0.0
38.19 0.0 1.0
38.5 1.0 0.0
38.72 0.0 1.0
40.74 1.0 0.0
40.95 0.0 1.0
48.52 2.0 0.0
48.68 0.0 2.0
49.04 1.0 0.0
49.2 0.0 1.0
50.0 1.0 0.0
50.16 0.0 1.0
50.41 1.0 0.0
50.59 0.0 1.0
51.2 1.0 0.0
51.36 0.0 1.0
52.81 1.0 0.0
52.96 0.0 1.0
53.65 1.0 0.0
53.83 0.0 1.0
60.69 1.0 0.0
60.86 1.0 0.0
60.93 1.0 0.0
61.0 0.0 1.0
61.14 0.0 1.0
61.21 0.0 1.0
61.27 1.0 0.0
61.4 1.0 0.0
61.53 0.0 1.0
61.64 1.0 0.0
61.67 0.0 1.0
61.71 1.0 0.0
61.93 0.0 1.0
61.94 0.0 1.0
64.23 1.0 0.0
64.29 1.0 0.0
64.43 1.0 0.0
64.54 0.0 1.0
64.57 0.0 1.0
65.0 0.0 1.0
66.33 1.0 0.0
66.67 0.0 1.0
68.15 1.0 0.0
68.46 0.0 1.0
73.0 1.0 0.0
77.0 0.0 1.0
82.62 1.0 0.0
83.12 0.0 1.0
85.88 1.0 0.0
86.22 1.0 0.0
86.38 0.0 1.0
86.67 0.0 1.0
90.56 1.0 0.0
91.0 0.0 1.0
91.25 1.0 0.0
92.25 0.0 1.0
92.67 1.0 0.0
93.11 0.0 1.0
96.14 1.0 0.0
96.71 0.0 1.0
99.75 1.0 0.0
100.25 0.0 1.0
102.75 1.0 0.0
103.25 0.0 1.0
109.29 1.0 0.0
109.86 0.0 1.0
