# Value  before after
0.0 1.0 1.0
0.02 3.0 12.0
0.03 15.0 10.0
0.04 9.0 6.0
0.05 1.0 1.0
0.06 1.0 0.0
0.07 0.0 2.0
0.08 2.0 0.0
0.09 0.0 2.0
0.1 1.0 1.0
0.11 1.0 1.0
0.12 1.0 3.0
0.13 2.0 2.0
0.14 2.0 8.0
0.15 3.0 1.0
0.16 2.0 1.0
0.17 5.0 2.0
0.18 2.0 5.0
0.19 1.0 6.0
0.2 2.0 5.0
0.21 2.0 7.0
0.22 2.0 2.0
0.23 9.0 3.0
0.24 4.0 5.0
0.25 4.0 7.0
0.26 2.0 6.0
0.27 5.0 2.0
0.28 9.0 8.0
0.29 6.0 6.0
0.3 2.0 6.0
0.31 3.0 3.0
0.32 7.0 4.0
0.33 4.0 7.0
0.34 4.0 4.0
0.35 4.0 4.0
0.36 5.0 1.0
0.37 5.0 0.0
0.38 6.0 0.0
0.39 2.0 0.0
0.4 4.0 0.0
0.41 1.0 0.0
