# Value  before after
28.0 1.0 0.0
32.0 0.0 1.0
33.0 1.0 0.0
36.0 1.0 0.0
37.0 0.0 1.0
40.0 1.0 1.0
42.0 2.0 0.0
44.0 0.0 1.0
46.0 1.0 2.0
47.0 3.0 0.0
48.0 2.0 0.0
49.0 2.0 0.0
50.0 2.0 1.0
51.0 0.0 3.0
52.0 1.0 2.0
53.0 1.0 2.0
54.0 1.0 2.0
56.0 0.0 1.0
57.0 1.0 1.0
58.0 0.0 1.0
59.0 1.0 0.0
61.0 0.0 1.0
63.0 3.0 1.0
64.0 2.0 0.0
66.0 1.0 0.0
67.0 2.0 3.0
68.0 1.0 2.0
70.0 0.0 1.0
71.0 2.0 2.0
72.0 1.0 1.0
75.0 3.0 2.0
76.0 1.0 1.0
77.0 3.0 0.0
79.0 3.0 3.0
80.0 1.0 1.0
81.0 0.0 3.0
82.0 1.0 0.0
83.0 5.0 3.0
84.0 2.0 1.0
86.0 0.0 1.0
87.0 4.0 5.0
88.0 2.0 2.0
90.0 2.0 0.0
91.0 1.0 4.0
92.0 4.0 2.0
93.0 1.0 0.0
94.0 4.0 2.0
95.0 1.0 1.0
96.0 4.0 4.0
97.0 1.0 1.0
98.0 2.0 4.0
99.0 1.0 1.0
100.0 3.0 4.0
101.0 2.0 1.0
102.0 4.0 2.0
103.0 5.0 1.0
104.0 1.0 3.0
105.0 1.0 2.0
106.0 4.0 4.0
107.0 2.0 4.0
108.0 1.0 2.0
109.0 1.0 1.0
110.0 1.0 4.0
111.0 1.0 2.0
112.0 2.0 1.0
113.0 2.0 1.0
114.0 1.0 1.0
115.0 1.0 1.0
116.0 1.0 2.0
117.0 4.0 1.0
118.0 1.0 2.0
119.0 3.0 1.0
120.0 0.0 1.0
121.0 2.0 4.0
122.0 2.0 1.0
123.0 0.0 3.0
125.0 1.0 2.0
126.0 0.0 2.0
129.0 1.0 1.0
130.0 2.0 0.0
131.0 2.0 0.0
132.0 1.0 0.0
133.0 2.0 1.0
134.0 0.0 2.0
135.0 0.0 2.0
136.0 1.0 1.0
137.0 1.0 2.0
140.0 0.0 1.0
141.0 0.0 1.0
152.0 1.0 0.0
156.0 0.0 1.0
158.0 1.0 0.0
161.0 1.0 0.0
162.0 1.0 1.0
165.0 0.0 1.0
166.0 0.0 1.0
167.0 1.0 0.0
171.0 0.0 1.0
228.0 1.0 0.0
229.0 1.0 0.0
232.0 0.0 1.0
233.0 0.0 1.0
284.0 1.0 0.0
288.0 0.0 1.0
477.0 1.0 0.0
481.0 0.0 1.0
