# Value  before after
585.62 1.0 0.0
586.25 0.0 1.0
587.62 2.0 0.0
588.25 0.0 2.0
588.5 1.0 0.0
589.12 0.0 1.0
589.62 1.0 0.0
590.25 0.0 1.0
592.0 1.0 0.0
592.25 1.0 0.0
592.38 1.0 0.0
592.62 2.0 1.0
592.75 1.0 0.0
592.88 0.0 1.0
593.12 1.0 1.0
593.25 0.0 2.0
593.38 0.0 1.0
593.5 1.0 0.0
593.75 0.0 1.0
594.12 0.0 1.0
608.25 1.0 0.0
608.5 1.0 0.0
608.88 0.0 1.0
609.12 0.0 1.0
609.5 1.0 0.0
609.75 1.0 0.0
610.25 0.0 1.0
610.38 0.0 1.0
610.75 1.0 0.0
611.5 0.0 1.0
611.75 2.0 0.0
612.0 3.0 0.0
612.12 1.0 0.0
612.25 1.0 0.0
612.38 1.0 2.0
612.5 1.0 0.0
612.62 0.0 2.0
612.75 3.0 2.0
612.88 0.0 1.0
613.0 1.0 1.0
613.12 0.0 1.0
613.38 2.0 2.0
613.5 0.0 1.0
614.0 0.0 2.0
614.25 0.0 1.0
615.5 1.0 0.0
616.12 0.0 1.0
671.0 1.0 0.0
671.71 0.0 1.0
694.57 2.0 0.0
694.71 1.0 0.0
694.86 1.0 0.0
695.29 0.0 2.0
695.43 0.0 1.0
695.57 0.0 1.0
696.29 1.0 0.0
697.0 0.0 1.0
697.29 1.0 0.0
698.0 0.0 1.0
698.14 3.0 0.0
698.29 1.0 0.0
698.43 1.0 0.0
698.71 3.0 0.0
698.86 0.0 2.0
699.0 0.0 2.0
699.14 1.0 1.0
699.43 0.0 2.0
699.57 0.0 1.0
699.86 1.0 1.0
700.57 0.0 1.0
