# Value  before after
22.28 1.0 0.0
22.5 0.0 1.0
23.75 1.0 0.0
24.5 1.0 0.0
24.75 0.0 1.0
26.5 0.0 1.0
28.69 1.0 0.0
28.94 0.0 1.0
29.54 1.0 0.0
29.85 0.0 1.0
30.0 1.0 0.0
30.17 1.0 0.0
30.4 0.0 1.0
30.71 1.0 0.0
30.83 0.0 1.0
31.21 1.0 0.0
31.29 0.0 1.0
31.5 0.0 1.0
32.18 1.0 0.0
32.55 0.0 1.0
33.43 1.0 0.0
34.0 0.0 1.0
34.24 1.0 0.0
34.47 0.0 1.0
34.73 1.0 0.0
34.89 1.0 0.0
35.09 0.0 1.0
35.11 0.0 1.0
35.87 1.0 0.0
36.0 1.0 0.0
36.12 1.0 0.0
36.13 0.0 1.0
36.33 1.0 0.0
36.4 0.0 1.0
36.62 0.0 1.0
36.78 0.0 1.0
38.33 1.0 0.0
38.7 1.0 0.0
39.1 0.0 1.0
39.24 1.0 0.0
39.27 1.0 0.0
39.43 0.0 1.0
39.64 0.0 1.0
39.67 0.0 1.0
40.27 1.0 0.0
40.64 0.0 1.0
40.9 1.0 0.0
41.3 0.0 1.0
42.67 1.0 0.0
42.91 1.0 0.0
43.0 1.0 0.0
43.11 0.0 1.0
43.27 0.0 1.0
43.33 1.0 0.0
43.5 0.0 1.0
43.64 1.0 0.0
43.78 0.0 1.0
44.0 1.0 1.0
44.3 1.0 0.0
44.67 0.0 1.0
44.7 0.0 1.0
44.82 1.0 0.0
45.0 1.0 0.0
45.09 1.0 0.0
45.14 1.0 0.0
45.18 0.0 1.0
45.4 0.0 1.0
45.45 0.0 1.0
45.71 0.0 1.0
46.0 2.0 0.0
46.2 1.0 0.0
46.43 1.0 0.0
46.44 0.0 1.0
46.6 0.0 1.0
46.71 0.0 1.0
47.33 0.0 1.0
48.57 1.0 0.0
48.64 1.0 0.0
48.86 0.0 1.0
49.0 1.0 1.0
49.17 1.0 0.0
49.44 0.0 1.0
49.67 1.0 0.0
49.83 1.0 1.0
50.0 0.0 1.0
50.5 1.0 1.0
50.8 1.0 0.0
51.0 0.0 1.0
51.2 0.0 1.0
51.86 1.0 0.0
52.14 1.0 0.0
52.43 0.0 1.0
52.71 0.0 1.0
53.38 1.0 0.0
53.62 1.0 0.0
53.71 1.0 0.0
53.88 0.0 1.0
53.92 0.0 1.0
54.0 1.0 0.0
54.29 0.0 1.0
54.44 1.0 0.0
54.62 1.0 0.0
54.88 0.0 1.0
54.89 0.0 1.0
55.29 1.0 0.0
55.5 1.0 0.0
55.75 1.0 0.0
55.79 0.0 1.0
55.86 0.0 1.0
56.0 0.0 1.0
56.08 0.0 1.0
56.4 1.0 0.0
56.8 0.0 1.0
57.0 1.0 0.0
57.11 1.0 0.0
57.31 0.0 1.0
57.56 0.0 1.0
57.62 1.0 0.0
58.12 0.0 1.0
58.88 1.0 0.0
59.0 1.0 0.0
59.12 1.0 0.0
59.38 0.0 1.0
59.62 0.0 1.0
59.67 0.0 1.0
59.75 1.0 0.0
60.0 1.0 0.0
60.25 1.0 1.0
60.5 1.0 1.0
60.71 1.0 0.0
61.17 0.0 1.0
61.22 1.0 0.0
61.25 0.0 1.0
61.29 1.0 1.0
61.57 1.0 0.0
61.67 0.0 1.0
61.86 0.0 1.0
62.0 1.0 0.0
62.14 1.0 1.0
62.33 1.0 0.0
62.71 0.0 1.0
62.8 0.0 1.0
63.0 1.0 1.0
63.57 0.0 1.0
64.25 1.0 0.0
64.5 1.0 0.0
64.75 0.0 1.0
64.8 1.0 0.0
65.17 0.0 1.0
65.33 1.0 0.0
65.6 0.0 1.0
66.0 2.0 1.0
66.44 0.0 1.0
66.56 1.0 0.0
66.57 0.0 1.0
66.62 1.0 0.0
66.8 1.0 0.0
67.0 0.0 1.0
67.12 0.0 1.0
67.18 1.0 0.0
67.2 0.0 1.0
67.55 0.0 1.0
67.75 1.0 0.0
68.25 0.0 1.0
70.0 1.0 0.0
70.25 1.0 0.0
70.33 1.0 0.0
70.38 1.0 0.0
70.8 0.0 1.0
70.88 0.0 1.0
71.0 0.0 1.0
71.25 0.0 1.0
71.38 1.0 0.0
71.88 0.0 1.0
72.67 1.0 0.0
73.33 0.0 1.0
74.14 1.0 0.0
74.43 0.0 1.0
75.4 1.0 0.0
76.2 0.0 1.0
76.88 1.0 0.0
78.12 0.0 1.0
78.62 1.0 0.0
78.67 1.0 0.0
78.83 1.0 0.0
79.12 0.0 1.0
79.33 0.0 1.0
79.5 0.0 1.0
81.67 1.0 0.0
82.0 1.0 0.0
82.67 1.0 1.0
83.0 0.0 1.0
83.11 0.0 1.0
84.5 1.0 0.0
85.5 0.0 1.0
86.75 1.0 0.0
87.75 0.0 1.0
88.38 1.0 0.0
88.88 0.0 1.0
90.83 1.0 0.0
91.0 1.0 0.0
91.5 0.0 1.0
91.67 0.0 1.0
93.33 1.0 0.0
94.0 1.0 1.0
94.25 1.0 0.0
95.25 0.0 1.0
95.29 1.0 0.0
95.33 0.0 1.0
95.86 0.0 1.0
96.57 1.0 0.0
97.14 0.0 1.0
98.0 1.0 0.0
98.67 0.0 1.0
99.14 1.0 0.0
99.71 0.0 1.0
101.75 1.0 0.0
102.75 0.0 1.0
104.17 1.0 0.0
104.83 0.0 1.0
105.5 1.0 0.0
105.9 1.0 0.0
106.3 0.0 1.0
106.5 0.0 1.0
109.33 1.0 0.0
110.0 0.0 1.0
110.25 1.0 0.0
111.2 1.0 0.0
111.25 0.0 1.0
112.0 0.0 1.0
118.67 1.0 0.0
119.33 0.0 1.0
119.67 1.0 0.0
120.33 1.0 0.0
121.0 1.0 1.0
121.2 1.0 0.0
121.67 0.0 1.0
121.8 0.0 1.0
122.0 0.0 1.0
123.0 2.0 0.0
123.57 0.0 1.0
124.0 0.0 1.0
126.75 1.0 0.0
127.75 0.0 1.0
129.8 1.0 0.0
130.6 0.0 1.0
135.0 1.0 0.0
135.67 1.0 0.0
136.33 0.0 1.0
137.0 1.0 1.0
139.0 1.0 1.0
140.0 0.0 1.0
141.83 1.0 0.0
142.0 1.0 0.0
142.5 0.0 1.0
144.0 0.0 1.0
148.33 1.0 0.0
149.67 0.0 1.0
166.67 1.0 0.0
168.0 0.0 1.0
176.67 1.0 0.0
178.0 0.0 1.0
195.0 1.0 0.0
197.0 0.0 1.0
209.33 1.0 0.0
210.67 0.0 1.0
212.5 1.0 0.0
214.5 0.0 1.0
219.0 1.0 0.0
220.0 1.0 0.0
221.0 0.0 1.0
222.0 0.0 1.0
240.5 1.0 0.0
242.5 0.0 1.0
319.0 1.0 0.0
323.0 0.0 1.0
384.0 1.0 0.0
388.0 0.0 1.0
720.0 1.0 0.0
724.0 0.0 1.0
