# Value  before after
23.0 1.0 0.0
24.0 1.0 1.0
25.0 0.0 1.0
31.0 1.0 0.0
32.0 0.0 1.0
33.0 1.0 0.0
34.0 1.0 1.0
35.0 0.0 1.0
38.0 1.0 0.0
39.0 1.0 1.0
40.0 0.0 1.0
42.0 1.0 0.0
43.0 0.0 1.0
45.0 2.0 0.0
46.0 1.0 2.0
47.0 2.0 1.0
48.0 3.0 2.0
49.0 1.0 3.0
50.0 2.0 1.0
51.0 5.0 2.0
52.0 2.0 5.0
53.0 5.0 2.0
54.0 5.0 5.0
55.0 4.0 5.0
56.0 4.0 4.0
57.0 1.0 4.0
58.0 7.0 1.0
59.0 8.0 7.0
60.0 4.0 8.0
61.0 3.0 4.0
62.0 4.0 3.0
63.0 1.0 4.0
64.0 5.0 1.0
65.0 5.0 5.0
66.0 3.0 5.0
67.0 3.0 3.0
68.0 5.0 3.0
69.0 0.0 5.0
70.0 8.0 0.0
71.0 4.0 8.0
72.0 2.0 4.0
73.0 2.0 2.0
74.0 1.0 2.0
75.0 2.0 1.0
76.0 4.0 2.0
77.0 1.0 4.0
78.0 1.0 1.0
79.0 5.0 1.0
80.0 1.0 4.0
81.0 3.0 2.0
82.0 2.0 3.0
83.0 3.0 2.0
84.0 1.0 3.0
85.0 0.0 1.0
86.0 3.0 0.0
87.0 2.0 3.0
88.0 1.0 2.0
89.0 1.0 1.0
90.0 0.0 1.0
91.0 1.0 0.0
92.0 1.0 1.0
93.0 0.0 1.0
94.0 1.0 0.0
95.0 0.0 1.0
96.0 1.0 0.0
97.0 3.0 1.0
98.0 0.0 3.0
109.0 1.0 0.0
110.0 0.0 1.0
163.0 1.0 0.0
164.0 0.0 1.0
