# Value  before after
0.0 6.0 0.0
4.0 0.0 6.0
5.0 11.0 0.0
6.0 3.0 0.0
9.0 0.0 11.0
10.0 16.0 3.0
11.0 8.0 0.0
12.0 21.0 0.0
13.0 11.0 0.0
14.0 15.0 15.0
15.0 12.0 8.0
16.0 5.0 21.0
17.0 12.0 12.0
18.0 1.0 15.0
19.0 1.0 12.0
20.0 0.0 5.0
21.0 1.0 12.0
22.0 0.0 1.0
23.0 0.0 1.0
25.0 1.0 1.0
27.0 2.0 0.0
29.0 0.0 1.0
31.0 0.0 2.0
59.0 1.0 0.0
63.0 0.0 1.0
68.0 1.0 0.0
71.0 1.0 0.0
72.0 0.0 1.0
75.0 2.0 1.0
79.0 0.0 2.0
84.0 1.0 0.0
88.0 0.0 1.0
92.0 1.0 0.0
95.0 1.0 0.0
96.0 0.0 1.0
99.0 0.0 1.0
101.0 2.0 0.0
105.0 0.0 2.0
109.0 2.0 0.0
110.0 1.0 0.0
112.0 1.0 0.0
113.0 0.0 2.0
114.0 0.0 1.0
116.0 1.0 1.0
120.0 3.0 1.0
122.0 1.0 0.0
124.0 0.0 3.0
126.0 0.0 1.0
131.0 1.0 0.0
135.0 0.0 1.0
143.0 1.0 0.0
147.0 0.0 1.0
148.0 1.0 0.0
152.0 0.0 1.0
178.0 1.0 0.0
182.0 0.0 1.0
