# Value  before after
0.0 1.0 0.0
1.0 3.0 1.0
2.0 1.0 3.0
3.0 2.0 1.0
4.0 1.0 2.0
5.0 1.0 1.0
6.0 0.0 1.0
7.0 2.0 0.0
8.0 1.0 2.0
9.0 1.0 1.0
10.0 0.0 1.0
14.0 6.0 0.0
15.0 4.0 6.0
16.0 3.0 4.0
17.0 7.0 2.0
18.0 3.0 7.0
19.0 10.0 2.0
20.0 12.0 12.0
21.0 19.0 11.0
22.0 7.0 16.0
23.0 6.0 11.0
24.0 4.0 6.0
25.0 7.0 4.0
26.0 1.0 7.0
27.0 7.0 1.0
28.0 2.0 6.0
29.0 4.0 3.0
30.0 2.0 3.0
31.0 3.0 2.0
32.0 0.0 4.0
33.0 2.0 0.0
34.0 0.0 2.0
35.0 4.0 0.0
36.0 1.0 3.0
37.0 1.0 1.0
38.0 0.0 1.0
40.0 0.0 1.0
41.0 1.0 0.0
42.0 1.0 1.0
43.0 0.0 1.0
45.0 3.0 0.0
46.0 0.0 3.0
56.0 1.0 0.0
57.0 0.0 1.0
