# Value  before after
17.67 1.0 0.0
19.0 0.0 1.0
25.5 1.0 0.0
26.0 1.0 0.0
27.33 0.0 1.0
27.5 0.0 1.0
28.0 1.0 0.0
28.67 1.0 0.0
28.75 1.0 0.0
29.75 0.0 1.0
30.0 1.0 2.0
31.25 1.0 0.0
31.33 0.0 1.0
32.25 0.0 1.0
32.67 2.0 0.0
34.0 0.0 2.0
35.0 1.0 0.0
35.33 1.0 0.0
36.0 0.0 1.0
36.67 0.0 1.0
37.0 1.0 0.0
37.75 1.0 0.0
38.67 1.0 0.0
39.25 0.0 1.0
40.0 1.0 1.0
40.25 1.0 0.0
41.25 0.0 1.0
41.33 1.0 1.0
41.67 1.0 0.0
41.75 1.0 0.0
42.0 1.0 0.0
42.25 1.0 0.0
42.33 3.0 0.0
42.67 1.0 0.0
42.75 0.0 1.0
43.0 0.0 1.0
43.67 0.0 3.0
44.0 0.0 1.0
44.25 0.0 1.0
45.0 0.0 1.0
45.33 1.0 0.0
46.0 1.0 0.0
46.6 1.0 0.0
46.67 0.0 1.0
47.0 1.0 0.0
47.4 0.0 1.0
48.0 1.0 0.0
48.67 0.0 1.0
50.0 0.0 1.0
51.0 0.0 1.0
51.5 1.0 0.0
52.0 0.0 1.0
52.25 1.0 0.0
52.5 0.0 1.0
53.0 1.0 0.0
53.25 0.0 1.0
54.33 0.0 1.0
55.0 1.0 0.0
56.0 1.0 0.0
57.25 1.0 0.0
58.0 3.0 0.0
58.25 0.0 1.0
58.67 1.0 1.0
59.0 0.0 1.0
59.33 0.0 1.0
60.0 0.0 2.0
60.25 1.0 0.0
60.67 1.0 0.0
61.25 0.0 1.0
61.33 1.0 0.0
61.5 1.0 0.0
62.0 2.0 2.0
62.5 1.0 0.0
64.0 0.0 3.0
64.5 0.0 1.0
65.0 1.0 0.0
65.5 0.0 1.0
66.0 0.0 1.0
67.0 2.0 1.0
68.0 1.0 0.0
69.0 0.0 1.0
70.67 1.0 0.0
71.0 2.0 1.0
72.0 1.0 2.0
75.0 0.0 2.0
76.0 1.0 0.0
80.0 0.0 1.0
81.5 1.0 0.0
82.67 1.0 0.0
83.5 0.0 1.0
84.0 0.0 1.0
86.0 2.0 0.0
88.0 1.0 1.0
90.0 0.0 2.0
92.0 0.0 1.0
93.0 1.0 0.0
94.0 1.0 0.0
95.0 1.0 0.0
96.0 1.0 0.0
96.33 1.0 0.0
97.0 1.0 1.0
98.0 0.0 1.0
99.0 0.0 1.0
100.33 0.0 1.0
101.0 0.0 1.0
102.0 2.0 1.0
103.0 3.0 0.0
105.0 2.0 0.0
106.0 1.0 2.0
107.0 0.0 3.0
109.0 2.0 1.0
110.0 1.0 1.0
112.0 1.0 0.0
113.0 1.0 2.0
114.0 0.0 1.0
115.0 1.0 1.0
116.0 0.0 1.0
117.0 1.0 0.0
119.0 2.0 0.0
120.0 3.0 0.0
121.0 0.0 2.0
122.0 1.0 0.0
123.0 0.0 3.0
124.0 0.0 2.0
126.0 0.0 2.0
132.0 2.0 0.0
133.0 1.0 0.0
134.0 2.0 0.0
136.0 3.0 1.0
137.0 1.0 1.0
138.0 0.0 2.0
139.0 0.0 1.0
140.0 0.0 3.0
141.0 1.0 0.0
144.0 1.0 1.0
145.0 0.0 1.0
146.0 1.0 0.0
150.0 0.0 1.0
153.0 1.0 0.0
157.0 1.0 1.0
160.0 0.0 1.0
161.0 0.0 1.0
165.0 1.0 0.0
173.0 0.0 1.0
174.0 2.0 0.0
178.0 1.0 1.0
182.0 0.0 2.0
186.0 1.0 0.0
187.0 1.0 0.0
188.0 1.0 0.0
190.0 0.0 1.0
192.0 0.0 1.0
194.0 1.0 0.0
195.0 0.0 1.0
196.0 1.0 0.0
198.0 0.0 2.0
204.0 1.0 0.0
208.0 0.0 1.0
