# Value  before after
13.0 1.0 0.0
14.0 1.0 0.0
17.0 0.0 1.0
18.0 0.0 1.0
20.0 7.0 0.0
21.0 7.0 0.0
22.0 0.0 1.0
24.0 1.0 5.0
25.0 0.0 5.0
26.0 0.0 1.0
28.0 0.0 2.0
28.5 1.0 0.0
29.0 1.0 0.0
30.5 0.0 1.0
32.0 0.0 1.0
33.0 1.0 0.0
33.5 2.0 0.0
35.0 0.0 1.0
35.5 0.0 2.0
37.0 1.0 1.0
39.0 1.0 0.0
41.0 0.0 1.0
43.0 0.0 1.0
51.0 1.0 0.0
52.5 1.0 0.0
54.0 1.0 0.0
54.5 0.0 1.0
55.0 1.0 1.0
59.0 0.0 1.0
66.0 0.0 1.0
73.67 1.0 0.0
75.0 0.0 1.0
77.0 1.0 0.0
78.08 1.0 0.0
78.42 0.0 1.0
81.0 0.0 1.0
89.5 1.0 0.0
95.5 0.0 1.0
118.5 1.0 0.0
120.5 0.0 1.0
128.0 1.0 0.0
129.0 1.0 0.0
132.0 0.0 1.0
133.0 0.0 1.0
179.0 1.0 0.0
181.0 0.0 1.0
251.0 1.0 0.0
255.0 0.0 1.0
264.0 1.0 0.0
268.0 0.0 1.0
