# Value  before after
7.0 1.0 0.0
11.0 0.0 1.0
19.5 1.0 0.0
20.0 1.0 0.0
21.5 1.0 1.0
22.0 1.0 0.0
23.33 1.0 0.0
23.5 0.0 1.0
24.0 0.0 1.0
24.67 0.0 1.0
26.0 1.0 1.0
27.33 0.0 1.0
29.0 2.0 0.0
30.0 2.0 0.0
33.0 0.0 1.0
34.0 1.0 2.0
35.5 1.0 0.0
36.0 1.0 0.0
37.0 1.0 1.0
37.5 0.0 1.0
38.0 1.0 1.0
38.67 1.0 0.0
39.0 1.0 0.0
40.0 0.0 2.0
41.0 0.0 1.0
42.0 0.0 1.0
43.0 0.0 1.0
47.0 1.0 0.0
49.0 1.0 0.0
50.0 1.0 0.0
51.0 0.0 1.0
52.0 0.0 1.0
53.0 0.0 1.0
54.5 1.0 0.0
56.0 1.0 0.0
56.5 0.0 1.0
58.0 1.0 0.0
60.0 0.0 1.0
62.0 0.0 1.0
64.5 1.0 0.0
66.5 0.0 1.0
66.67 1.0 0.0
67.0 1.0 0.0
68.0 1.0 1.0
69.0 1.0 0.0
70.0 1.0 0.0
71.0 0.0 1.0
72.0 0.0 1.0
73.0 2.0 1.0
74.0 1.0 1.0
77.0 0.0 2.0
78.0 1.0 1.0
82.0 1.0 1.0
83.0 1.0 0.0
83.33 0.0 1.0
87.0 1.0 1.0
88.0 1.0 0.0
90.0 1.0 0.0
91.0 1.0 1.0
92.0 2.0 1.0
93.0 1.0 0.0
94.0 1.0 1.0
95.0 0.0 1.0
96.0 1.0 2.0
97.0 1.0 1.0
98.0 1.0 1.0
99.0 1.0 0.0
100.0 1.0 1.0
101.0 1.0 1.0
102.0 2.0 1.0
103.0 1.0 1.0
104.0 0.0 1.0
105.0 1.0 1.0
106.0 1.0 2.0
107.0 0.0 1.0
108.0 4.0 0.0
109.0 0.0 1.0
110.0 0.0 1.0
110.5 1.0 0.0
111.0 1.0 0.0
112.0 2.0 4.0
112.5 0.0 1.0
114.0 1.0 0.0
115.0 2.0 1.0
116.0 0.0 2.0
117.0 3.0 0.0
118.0 1.0 1.0
119.0 2.0 3.0
121.0 3.0 2.0
122.0 1.0 1.0
123.0 0.0 2.0
124.0 1.0 0.0
125.0 1.0 3.0
126.0 0.0 1.0
127.0 2.0 0.0
128.0 0.0 1.0
129.0 0.0 1.0
130.0 2.0 0.0
131.0 1.0 1.0
134.0 2.0 2.0
135.0 1.0 2.0
136.0 1.0 0.0
137.0 1.0 1.0
138.0 0.0 2.0
140.0 1.0 1.0
141.0 2.0 1.0
142.0 1.0 0.0
143.0 2.0 0.0
144.0 0.0 1.0
145.0 0.0 2.0
146.0 1.0 1.0
147.0 1.0 2.0
148.0 3.0 0.0
149.0 2.0 0.0
150.0 4.0 1.0
151.0 1.0 1.0
152.0 0.0 3.0
153.0 1.0 2.0
153.5 1.0 0.0
154.0 1.0 4.0
155.0 0.0 1.0
155.5 0.0 1.0
156.0 1.0 0.0
157.0 0.0 1.0
158.0 0.0 1.0
159.0 1.0 0.0
160.0 1.0 1.0
161.0 2.0 0.0
162.0 1.0 0.0
163.0 0.0 1.0
164.0 2.0 1.0
165.0 4.0 2.0
166.0 0.0 1.0
168.0 0.0 2.0
169.0 0.0 4.0
171.0 1.0 0.0
175.0 1.0 1.0
176.0 1.0 0.0
179.0 1.0 1.0
180.0 0.0 1.0
181.0 3.0 0.0
182.0 2.0 0.0
183.0 0.0 1.0
184.0 1.0 0.0
185.0 0.0 2.0
186.0 0.0 1.0
188.0 0.0 1.0
189.0 1.0 1.0
190.0 1.0 1.0
193.0 0.0 1.0
194.0 0.0 1.0
197.0 1.0 0.0
201.0 0.0 1.0
203.0 1.0 0.0
206.0 1.0 0.0
207.0 0.0 1.0
208.0 1.0 0.0
210.0 0.0 1.0
212.0 0.0 1.0
219.0 1.0 0.0
222.0 1.0 0.0
223.0 0.0 1.0
226.0 1.0 1.0
230.0 0.0 1.0
231.0 1.0 0.0
235.0 0.0 1.0
240.0 1.0 0.0
243.0 1.0 0.0
244.0 0.0 1.0
247.0 0.0 1.0
248.0 1.0 0.0
251.0 1.0 0.0
252.0 0.0 1.0
255.0 0.0 1.0
260.0 1.0 0.0
264.0 0.0 1.0
