# Value  before after
0.0 2.0 2.0
6.0 1.0 0.0
8.0 0.0 1.0
13.25 1.0 0.0
14.25 0.0 1.0
24.0 1.0 0.0
26.5 1.0 0.0
27.0 1.0 0.0
28.0 0.0 1.0
28.5 0.0 1.0
31.0 1.0 1.0
32.0 0.0 1.0
34.0 1.0 0.0
35.5 1.0 0.0
36.0 1.0 1.0
37.5 0.0 1.0
39.75 1.0 0.0
40.0 1.0 1.0
43.0 0.0 1.0
43.25 2.0 0.0
43.5 1.0 0.0
44.0 0.0 1.0
44.25 0.0 1.0
45.0 0.0 1.0
46.0 0.0 1.0
50.0 1.0 0.0
50.75 1.0 0.0
52.33 1.0 1.0
52.5 0.0 1.0
54.67 0.0 1.0
55.0 1.0 0.0
55.25 1.0 0.0
56.25 0.0 1.0
58.67 1.0 0.0
59.0 0.0 1.0
59.5 1.0 0.0
61.0 0.0 1.0
61.5 0.0 1.0
63.67 1.0 0.0
64.5 1.0 0.0
65.0 1.0 2.0
65.5 1.0 0.0
66.0 1.0 0.0
66.33 1.0 0.0
67.25 0.0 1.0
67.5 1.0 1.0
67.67 0.0 1.0
69.0 2.0 1.0
69.5 0.0 1.0
70.0 1.0 0.0
71.0 1.0 1.0
71.67 1.0 0.0
72.5 0.0 1.0
73.0 1.0 1.0
73.33 1.0 0.0
74.0 3.0 1.0
75.0 0.0 1.0
75.67 0.0 2.0
76.0 2.0 2.0
76.33 1.0 0.0
77.0 0.0 1.0
77.5 1.0 0.0
78.0 0.0 2.0
78.5 1.0 0.0
78.67 0.0 1.0
79.0 1.0 0.0
80.5 0.0 1.0
81.0 2.0 1.0
83.0 0.0 1.0
84.0 1.0 0.0
84.25 1.0 0.0
84.5 0.0 2.0
85.25 0.0 1.0
86.0 1.0 0.0
86.5 1.0 0.0
87.0 2.0 0.0
88.0 2.0 1.0
88.33 0.0 1.0
88.75 1.0 0.0
89.33 0.0 1.0
89.62 1.0 0.0
89.75 0.0 2.0
90.0 2.0 1.0
91.0 3.0 0.0
92.0 1.0 3.0
92.5 1.0 0.0
93.0 1.0 1.0
93.5 1.0 1.0
94.0 0.0 2.0
94.5 0.0 1.0
94.75 1.0 0.0
95.0 0.0 1.0
95.5 1.0 0.0
95.75 0.0 1.0
96.0 1.0 1.0
96.5 0.0 1.0
97.0 2.0 2.0
98.5 2.0 0.0
99.0 2.0 0.0
99.5 1.0 1.0
100.0 1.0 0.0
100.5 0.0 3.0
101.0 1.0 1.0
101.5 1.0 0.0
102.0 0.0 1.0
102.5 0.0 1.0
103.0 1.0 1.0
104.0 1.0 0.0
104.5 1.0 0.0
105.0 1.0 3.0
106.5 0.0 1.0
107.0 0.0 1.0
107.5 0.0 1.0
108.5 1.0 0.0
109.0 1.0 1.0
111.0 1.0 0.0
112.0 0.0 1.0
115.0 0.0 1.0
115.5 1.0 0.0
116.0 0.0 1.0
117.5 0.0 1.0
118.0 3.0 0.0
119.5 1.0 0.0
121.5 0.0 1.0
122.0 1.0 2.0
123.0 0.0 1.0
124.0 0.0 1.0
126.5 1.0 0.0
128.0 1.0 0.0
129.0 1.0 0.0
130.0 0.0 1.0
132.0 1.0 1.0
133.0 0.0 1.0
135.5 0.0 1.0
137.0 1.0 0.0
138.0 2.0 0.0
138.5 1.0 0.0
139.0 1.0 0.0
140.5 0.0 1.0
141.0 0.0 1.0
142.0 1.0 2.0
143.0 0.0 1.0
143.75 1.0 0.0
144.75 0.0 1.0
146.0 1.0 1.0
147.0 1.0 0.0
150.0 0.0 1.0
151.0 0.0 1.0
152.0 1.0 0.0
153.5 1.0 0.0
154.5 0.0 1.0
158.0 1.0 0.0
159.0 0.0 1.0
162.0 0.0 1.0
163.0 1.0 0.0
166.0 1.0 0.0
167.0 0.0 1.0
169.0 1.0 0.0
170.0 1.0 0.0
173.0 0.0 1.0
176.0 0.0 1.0
177.0 0.0 1.0
180.0 1.0 0.0
181.0 1.0 0.0
184.0 0.0 1.0
184.5 1.0 0.0
185.0 2.0 0.0
186.5 0.0 1.0
187.0 1.0 1.0
188.0 1.0 1.0
189.0 0.0 1.0
194.0 0.0 1.0
195.0 0.0 1.0
200.0 1.0 0.0
201.0 2.0 0.0
203.0 0.0 2.0
204.0 1.0 0.0
207.0 1.0 1.0
208.0 0.0 1.0
214.0 0.0 1.0
216.0 1.0 0.0
221.0 0.0 1.0
230.0 1.0 0.0
231.0 1.0 0.0
234.0 0.0 1.0
235.0 0.0 1.0
240.0 1.0 0.0
244.0 0.0 1.0
256.0 1.0 0.0
262.0 1.0 0.0
263.0 0.0 1.0
266.0 0.0 1.0
503.0 1.0 0.0
507.0 0.0 1.0
