# Value  before after
26.5 1.0 0.0
28.5 0.0 1.0
36.0 1.0 0.0
40.0 0.0 1.0
45.0 1.0 0.0
45.57 0.0 1.0
60.0 1.0 0.0
61.0 1.0 0.0
62.0 0.0 1.0
65.0 0.0 1.0
65.5 1.0 0.0
65.67 1.0 0.0
67.0 0.0 1.0
67.5 0.0 1.0
67.8 1.0 0.0
68.6 0.0 1.0
69.4 1.0 0.0
70.2 0.0 1.0
70.6 1.0 0.0
71.4 0.0 1.0
74.0 1.0 0.0
75.0 1.0 0.0
75.2 1.0 0.0
75.5 1.0 0.0
76.0 0.0 2.0
77.0 0.0 1.0
77.5 1.0 0.0
78.0 1.0 1.0
78.5 0.0 1.0
79.0 1.0 0.0
79.5 1.0 0.0
80.0 0.0 1.0
82.0 0.0 1.0
82.5 0.0 1.0
83.5 1.0 0.0
85.5 1.0 1.0
86.0 1.0 0.0
87.5 3.0 1.0
89.5 0.0 3.0
90.0 0.0 1.0
91.0 1.0 0.0
91.67 1.0 0.0
92.5 1.0 0.0
93.0 0.0 2.0
94.0 1.0 0.0
94.5 0.0 1.0
95.0 1.0 0.0
96.0 4.0 1.0
97.5 0.0 1.0
98.0 1.0 2.0
100.0 3.0 2.0
100.5 0.0 1.0
101.67 0.0 1.0
102.0 0.0 2.0
103.0 1.0 0.0
104.5 1.0 0.0
106.5 0.0 1.0
107.0 0.0 1.0
108.5 1.0 0.0
108.67 1.0 0.0
109.0 1.0 0.0
109.67 1.0 0.0
110.0 1.0 1.0
110.5 2.0 0.0
111.0 0.0 1.0
112.5 0.0 2.0
113.0 0.0 1.0
114.0 0.0 1.0
116.5 0.0 1.0
117.0 1.0 0.0
119.0 1.0 0.0
120.0 1.0 0.0
121.0 1.0 2.0
122.0 0.0 1.0
123.0 1.0 0.0
124.0 1.0 0.0
125.0 0.0 2.0
125.5 1.0 0.0
127.0 2.0 0.0
127.5 0.0 1.0
128.0 0.0 1.0
129.0 1.0 0.0
130.5 1.0 0.0
131.0 0.0 2.0
131.67 1.0 0.0
132.5 0.0 1.0
133.0 0.0 2.0
134.5 2.0 0.0
135.0 1.0 0.0
136.0 1.0 0.0
136.5 0.0 2.0
138.0 2.0 0.0
139.0 1.0 1.0
140.0 1.0 2.0
142.0 0.0 1.0
143.0 0.0 1.0
144.0 0.0 1.0
150.0 1.0 0.0
150.5 2.0 0.0
152.0 1.0 0.0
152.5 0.0 1.0
154.0 1.0 1.0
155.0 2.0 0.0
155.5 0.0 1.0
156.0 0.0 1.0
157.0 0.0 1.0
158.0 0.0 1.0
159.0 2.0 0.0
159.5 1.0 0.0
160.0 1.0 2.0
163.0 1.0 2.0
164.0 1.0 1.0
167.0 0.0 1.0
168.0 1.0 1.0
168.5 1.0 0.0
169.0 1.0 0.0
170.0 1.0 0.0
170.5 0.0 1.0
172.0 0.0 1.0
173.0 0.0 1.0
174.0 0.0 1.0
178.0 2.0 0.0
180.0 1.0 0.0
181.0 1.0 0.0
182.0 0.0 2.0
182.5 0.0 1.0
183.0 2.0 0.0
184.0 1.0 0.0
185.0 0.0 1.0
186.0 1.0 0.0
187.0 0.0 2.0
188.0 0.0 1.0
189.0 1.0 0.0
190.0 0.0 1.0
193.0 2.0 1.0
194.0 1.0 0.0
197.0 3.0 2.0
198.0 1.0 1.0
199.0 0.0 1.0
201.0 0.0 2.0
202.0 0.0 1.0
203.0 1.0 0.0
206.0 1.0 0.0
207.0 0.0 1.0
207.5 1.0 0.0
209.5 0.0 1.0
210.0 0.0 1.0
217.0 1.0 0.0
218.0 1.0 0.0
221.0 0.0 1.0
222.0 0.0 1.0
223.0 4.0 0.0
225.0 0.0 2.0
227.0 0.0 2.0
232.0 1.0 0.0
233.0 2.0 0.0
236.0 0.0 1.0
237.0 0.0 2.0
242.67 1.0 0.0
244.0 0.0 1.0
245.0 1.0 0.0
246.0 1.0 0.0
247.0 1.0 1.0
247.5 0.0 1.0
249.0 1.0 0.0
250.0 1.0 1.0
251.0 1.0 0.0
251.5 0.0 1.0
253.0 0.0 1.0
254.0 1.0 1.0
256.0 1.0 0.0
258.0 1.0 1.0
259.0 1.0 0.0
260.0 0.0 1.0
261.0 1.0 0.0
262.0 1.0 0.0
263.0 0.0 2.0
265.0 0.0 1.0
266.0 1.0 1.0
267.0 1.0 0.0
270.0 0.0 1.0
271.0 1.0 1.0
275.0 0.0 1.0
281.0 1.0 0.0
283.0 1.0 0.0
285.0 1.0 1.0
287.0 0.0 2.0
297.0 1.0 0.0
301.0 0.0 1.0
302.0 1.0 0.0
304.0 1.0 0.0
306.0 0.0 2.0
307.0 1.0 0.0
307.5 1.0 0.0
309.5 0.0 1.0
311.0 0.0 1.0
326.0 1.0 0.0
327.0 1.0 0.0
328.0 1.0 0.0
329.0 0.0 1.0
330.0 0.0 1.0
332.0 0.0 1.0
368.0 1.0 0.0
372.0 0.0 1.0
374.0 1.0 0.0
378.0 0.0 1.0
383.0 1.0 0.0
388.0 0.0 1.0
401.0 1.0 0.0
405.0 0.0 1.0
426.0 1.0 0.0
434.0 0.0 1.0
442.0 1.0 0.0
446.0 0.0 1.0
