# Value  before after
18.0 1.0 0.0
19.0 2.0 1.0
20.0 4.0 2.0
21.0 3.0 4.0
22.0 5.0 3.0
23.0 2.0 5.0
24.0 9.0 2.0
25.0 3.0 9.0
26.0 3.0 3.0
27.0 3.0 3.0
28.0 5.0 3.0
29.0 4.0 5.0
30.0 6.0 4.0
31.0 2.0 6.0
32.0 4.0 2.0
33.0 5.0 4.0
34.0 4.0 5.0
35.0 3.0 4.0
36.0 3.0 3.0
37.0 4.0 3.0
38.0 1.0 4.0
39.0 2.0 1.0
40.0 6.0 2.0
41.0 3.0 4.0
42.0 4.0 4.0
43.0 10.0 4.0
44.0 3.0 10.0
45.0 4.0 4.0
46.0 4.0 3.0
47.0 1.0 5.0
48.0 2.0 1.0
49.0 1.0 2.0
50.0 3.0 1.0
51.0 2.0 3.0
52.0 1.0 2.0
53.0 3.0 1.0
54.0 3.0 3.0
55.0 2.0 3.0
56.0 1.0 2.0
57.0 0.0 1.0
58.0 1.0 0.0
59.0 1.0 1.0
60.0 3.0 1.0
61.0 1.0 3.0
62.0 2.0 1.0
63.0 0.0 2.0
68.0 1.0 0.0
69.0 0.0 1.0
71.0 1.0 0.0
72.0 0.0 1.0
74.0 1.0 0.0
75.0 0.0 1.0
99.0 1.0 0.0
100.0 0.0 1.0
140.0 1.0 0.0
141.0 0.0 1.0
