# Value  before after
36.77 1.0 0.0
37.83 1.0 0.0
39.0 0.0 1.0
40.33 0.0 1.0
41.0 0.0 1.0
43.0 1.0 0.0
43.71 1.0 0.0
46.71 0.0 1.0
46.75 1.0 0.0
47.5 1.0 0.0
48.0 0.0 1.0
48.67 1.0 0.0
48.75 1.0 0.0
49.5 1.0 0.0
51.5 1.0 0.0
52.2 1.0 0.0
52.9 0.0 1.0
54.33 1.0 0.0
54.56 0.0 1.0
55.0 0.0 2.0
58.75 0.0 1.0
60.5 2.0 0.0
60.75 0.0 1.0
61.0 0.0 1.0
61.5 1.0 0.0
61.67 1.0 0.0
62.0 1.0 0.0
62.6 1.0 0.0
63.25 2.0 0.0
63.4 0.0 1.0
63.5 0.0 1.0
64.0 1.0 1.0
65.0 0.0 1.0
65.83 1.0 0.0
66.5 1.0 0.0
66.67 0.0 1.0
66.83 1.0 0.0
67.0 2.0 0.0
68.0 1.0 2.0
69.67 0.0 1.0
69.75 0.0 1.0
70.5 1.0 0.0
71.0 1.0 0.0
71.67 1.0 0.0
72.5 0.0 1.0
72.83 0.0 1.0
73.0 1.0 0.0
73.5 1.0 0.0
74.0 1.0 0.0
74.33 0.0 1.0
75.0 1.0 0.0
75.05 1.0 0.0
75.25 1.0 0.0
75.32 0.0 1.0
75.5 1.0 0.0
75.75 0.0 1.0
76.23 1.0 0.0
76.67 0.0 2.0
76.85 0.0 1.0
77.0 2.0 1.0
77.5 0.0 1.0
77.75 0.0 1.0
79.0 0.0 1.0
79.67 0.0 1.0
79.75 0.0 1.0
80.0 0.0 2.0
80.25 1.0 0.0
81.0 1.0 0.0
81.5 2.0 0.0
83.67 0.0 1.0
84.25 1.0 0.0
85.25 0.0 1.0
85.5 0.0 1.0
85.67 0.0 1.0
86.0 0.0 1.0
86.5 1.0 0.0
87.0 0.0 2.0
87.67 2.0 0.0
88.0 1.0 0.0
89.33 1.0 0.0
89.75 0.0 1.0
90.67 0.0 1.0
92.0 0.0 1.0
92.33 1.0 0.0
92.5 1.0 0.0
93.5 2.0 0.0
94.0 0.0 1.0
94.5 1.0 0.0
94.67 2.0 0.0
95.33 0.0 1.0
96.0 2.0 0.0
96.67 0.0 2.0
97.0 1.0 1.0
97.33 1.0 0.0
98.0 2.0 1.0
98.5 0.0 1.0
99.0 2.0 1.0
99.33 1.0 0.0
99.67 1.0 1.0
100.0 1.0 0.0
100.5 0.0 1.0
101.0 0.0 1.0
102.0 1.0 1.0
102.25 1.0 0.0
102.67 0.0 1.0
103.67 0.0 1.0
104.67 0.0 1.0
105.0 1.0 1.0
105.5 1.0 0.0
105.67 0.0 1.0
106.0 1.0 1.0
106.5 1.0 0.0
106.75 1.0 0.0
107.0 2.0 1.0
107.75 0.0 2.0
107.83 1.0 0.0
108.0 0.0 1.0
108.5 1.0 0.0
108.67 1.0 0.0
109.0 0.0 1.0
109.33 0.0 1.0
109.5 0.0 2.0
110.5 0.0 1.0
111.5 1.0 1.0
112.0 1.0 0.0
112.5 1.0 0.0
112.67 1.0 0.0
114.0 1.0 1.0
115.5 0.0 1.0
116.5 0.0 2.0
117.0 1.0 0.0
118.0 1.0 1.0
118.5 0.0 2.0
119.33 0.0 1.0
119.67 1.0 1.0
120.0 1.0 0.0
120.5 1.0 1.0
121.25 1.0 0.0
122.0 2.0 0.0
124.0 0.0 1.0
124.5 1.0 0.0
124.67 0.0 1.0
124.75 0.0 1.0
125.0 2.0 0.0
126.0 0.0 1.0
126.67 1.0 0.0
127.0 0.0 1.0
127.67 0.0 1.0
127.8 1.0 0.0
128.0 0.0 1.0
128.5 2.0 0.0
128.8 0.0 1.0
129.0 0.0 1.0
129.5 0.0 1.0
130.0 2.0 0.0
130.71 0.0 1.0
132.5 1.0 0.0
132.67 1.0 0.0
133.0 0.0 1.0
133.5 1.0 1.0
134.75 0.0 1.0
135.0 1.0 0.0
135.86 1.0 0.0
136.33 1.0 0.0
137.71 0.0 1.0
138.5 0.0 1.0
139.0 1.0 1.0
139.33 0.0 1.0
139.5 1.0 0.0
140.0 1.0 1.0
140.29 1.0 0.0
140.5 2.0 1.0
140.67 1.0 0.0
140.86 0.0 1.0
141.0 1.0 0.0
142.0 0.0 1.0
143.0 0.0 1.0
144.0 1.0 0.0
144.5 0.0 2.0
144.67 1.0 1.0
148.0 2.0 0.0
149.0 0.0 1.0
150.5 1.0 0.0
151.0 0.0 2.0
152.5 1.0 0.0
153.0 0.0 2.0
154.0 1.0 1.0
155.0 1.0 0.0
155.5 0.0 1.0
155.67 0.0 1.0
156.5 2.0 0.0
159.5 1.0 1.0
160.67 0.0 1.0
161.0 0.0 1.0
164.0 1.0 0.0
166.0 0.0 1.0
169.0 0.0 1.0
170.17 1.0 0.0
170.5 0.0 2.0
171.0 0.0 1.0
172.2 1.0 0.0
173.0 1.0 0.0
173.6 0.0 1.0
175.0 1.0 0.0
175.67 2.0 0.0
176.5 0.0 1.0
177.0 1.0 1.0
177.67 0.0 1.0
178.5 1.0 0.0
179.0 0.0 1.0
181.0 1.0 0.0
181.83 0.0 1.0
183.0 0.0 1.0
188.8 1.0 0.0
190.5 0.0 1.0
190.6 0.0 1.0
197.0 0.0 1.0
200.0 0.0 1.0
201.0 1.0 0.0
203.5 1.0 0.0
208.0 0.0 2.0
210.0 0.0 1.0
213.7 1.0 0.0
214.0 1.0 0.0
214.5 0.0 1.0
227.0 1.0 0.0
228.0 1.0 0.0
231.33 0.0 1.0
240.67 1.0 0.0
241.5 0.0 1.0
242.0 1.0 0.0
242.33 0.0 1.0
246.0 0.0 1.0
253.5 1.0 0.0
268.5 0.0 1.0
282.75 1.0 0.0
284.75 0.0 1.0
361.0 1.0 0.0
368.0 0.0 1.0
