# Value  before after
22.0 1.0 0.0
24.0 0.0 1.0
27.0 1.0 0.0
28.0 1.0 1.0
29.0 2.0 1.0
30.0 5.0 2.0
31.0 2.0 5.0
32.0 2.0 1.0
33.0 2.0 2.0
34.0 7.0 3.0
35.0 1.0 7.0
36.0 5.0 1.0
37.0 5.0 5.0
38.0 1.0 5.0
39.0 7.0 1.0
40.0 6.0 7.0
41.0 1.0 6.0
42.0 4.0 1.0
43.0 4.0 4.0
44.0 6.0 4.0
45.0 6.0 6.0
46.0 3.0 6.0
47.0 3.0 3.0
48.0 4.0 2.0
49.0 5.0 5.0
50.0 2.0 5.0
51.0 5.0 2.0
52.0 0.0 4.0
53.0 5.0 1.0
54.0 6.0 5.0
55.0 3.0 6.0
56.0 2.0 3.0
57.0 2.0 2.0
58.0 0.0 2.0
60.0 1.0 0.0
61.0 2.0 1.0
62.0 3.0 2.0
63.0 0.0 3.0
64.0 1.0 0.0
65.0 0.0 1.0
66.0 2.0 0.0
67.0 1.0 2.0
68.0 2.0 1.0
69.0 0.0 2.0
70.0 1.0 0.0
71.0 1.0 1.0
72.0 1.0 1.0
73.0 1.0 1.0
74.0 1.0 1.0
75.0 1.0 1.0
76.0 1.0 1.0
77.0 2.0 1.0
78.0 0.0 2.0
79.0 1.0 0.0
80.0 2.0 1.0
81.0 0.0 2.0
86.0 1.0 0.0
87.0 0.0 1.0
88.0 1.0 0.0
89.0 1.0 1.0
90.0 2.0 1.0
91.0 0.0 2.0
95.0 1.0 0.0
96.0 0.0 1.0
98.0 1.0 0.0
99.0 0.0 1.0
101.0 1.0 0.0
102.0 0.0 1.0
105.0 1.0 0.0
106.0 2.0 1.0
107.0 0.0 2.0
108.0 1.0 0.0
109.0 1.0 1.0
110.0 0.0 1.0
118.0 1.0 0.0
119.0 0.0 1.0
133.0 1.0 0.0
134.0 0.0 1.0
143.0 1.0 0.0
144.0 0.0 1.0
