# Value  before after
0.0 96.0 0.0
3.0 0.0 5.0
4.0 1.0 4.0
5.0 13.0 7.0
6.0 4.0 3.0
7.0 1.0 4.0
8.0 4.0 8.0
9.0 1.0 2.0
10.0 0.0 9.0
11.0 6.0 4.0
12.0 1.0 1.0
13.0 1.0 3.0
14.0 1.0 1.0
15.0 0.0 5.0
16.0 0.0 3.0
17.0 1.0 4.0
18.0 1.0 3.0
19.0 0.0 2.0
20.0 0.0 4.0
21.0 0.0 1.0
22.0 0.0 6.0
23.0 0.0 2.0
24.0 0.0 3.0
25.0 0.0 3.0
26.0 0.0 3.0
28.0 0.0 4.0
29.0 1.0 1.0
30.0 0.0 3.0
31.0 1.0 1.0
32.0 0.0 2.0
33.0 0.0 1.0
35.0 0.0 1.0
36.0 0.0 2.0
38.0 0.0 1.0
39.0 0.0 4.0
40.0 0.0 2.0
41.0 0.0 2.0
43.0 1.0 1.0
44.0 1.0 2.0
45.0 0.0 1.0
47.0 1.0 2.0
48.0 0.0 2.0
49.0 0.0 2.0
50.0 0.0 2.0
51.0 1.0 0.0
52.0 0.0 1.0
54.0 0.0 1.0
55.0 0.0 2.0
58.0 1.0 0.0
59.0 0.0 3.0
60.0 1.0 0.0
63.0 0.0 1.0
65.0 0.0 1.0
66.0 0.0 1.0
78.0 1.0 0.0
82.0 1.0 0.0
83.0 0.0 2.0
85.0 0.0 1.0
86.0 0.0 1.0
89.0 1.0 0.0
91.0 1.0 0.0
93.0 0.0 1.0
95.0 1.0 1.0
98.0 0.0 1.0
102.0 0.0 1.0
108.0 1.0 0.0
112.0 0.0 1.0
126.0 1.0 0.0
128.0 1.0 0.0
130.0 1.0 1.0
134.0 0.0 1.0
136.0 0.0 1.0
305.0 1.0 0.0
312.0 0.0 1.0
