# Value  before after
33.0 1.0 0.0
33.17 0.0 1.0
36.5 1.0 0.0
38.0 1.0 0.0
38.5 0.0 1.0
41.0 1.0 0.0
41.6 1.0 0.0
42.4 1.0 0.0
43.0 0.0 1.0
43.2 0.0 1.0
45.0 1.0 0.0
46.0 1.0 1.0
48.25 1.0 0.0
48.5 0.0 1.0
51.75 1.0 0.0
52.0 0.0 1.0
55.0 1.0 0.0
55.4 0.0 1.0
55.5 0.0 1.0
56.0 0.0 1.0
56.33 1.0 0.0
56.5 1.0 0.0
57.0 1.0 1.0
57.29 1.0 0.0
57.83 0.0 1.0
58.0 1.0 0.0
58.5 1.0 0.0
59.2 1.0 0.0
59.43 0.0 1.0
59.5 1.0 1.0
59.9 0.0 1.0
60.75 0.0 1.0
61.0 1.0 0.0
61.25 1.0 0.0
61.5 0.0 1.0
62.25 0.0 1.0
63.5 0.0 1.0
64.0 1.0 0.0
64.2 1.0 0.0
64.5 1.0 0.0
65.0 0.0 2.0
65.5 0.0 1.0
66.0 0.0 1.0
66.5 2.0 0.0
66.67 2.0 0.0
67.0 2.0 0.0
67.5 1.0 1.0
68.0 1.0 1.0
68.5 1.0 0.0
68.75 0.0 1.0
69.0 1.0 0.0
69.5 0.0 2.0
69.67 0.0 1.0
70.5 0.0 1.0
70.67 1.0 0.0
71.5 1.0 0.0
72.0 1.0 2.0
72.5 0.0 2.0
72.67 1.0 0.0
73.2 0.0 1.0
74.0 0.0 2.0
74.5 1.0 0.0
75.5 1.0 0.0
76.3 1.0 0.0
76.67 1.0 0.0
77.0 1.0 0.0
77.4 0.0 1.0
78.0 0.0 1.0
79.0 0.0 1.0
80.0 1.0 1.0
80.5 1.0 0.0
81.0 1.0 0.0
81.67 1.0 1.0
82.0 1.0 0.0
83.0 1.0 0.0
83.22 1.0 0.0
83.5 0.0 1.0
85.47 1.0 0.0
85.5 1.0 0.0
85.53 0.0 1.0
85.56 0.0 1.0
85.67 1.0 0.0
86.0 2.0 2.0
86.33 1.0 0.0
86.67 0.0 1.0
87.0 1.0 0.0
87.5 1.0 1.0
88.5 0.0 2.0
89.5 0.0 1.0
90.33 0.0 1.0
90.5 1.0 0.0
91.0 2.0 2.0
91.5 1.0 0.0
92.0 1.0 0.0
92.33 1.0 1.0
92.67 0.0 1.0
94.0 2.0 1.0
95.25 0.0 1.0
95.4 1.0 0.0
95.5 0.0 1.0
95.6 0.0 1.0
95.67 1.0 0.0
96.0 1.0 3.0
97.0 0.0 2.0
97.5 1.0 0.0
98.0 0.0 2.0
98.5 1.0 0.0
99.0 1.0 1.0
100.33 1.0 0.0
100.5 2.0 0.0
101.5 1.0 0.0
102.0 0.0 1.0
102.5 1.0 1.0
102.67 0.0 1.0
103.0 0.0 1.0
104.0 0.0 1.0
104.5 1.0 0.0
104.67 1.0 0.0
106.0 1.0 0.0
107.0 0.0 1.0
107.33 1.0 0.0
107.5 1.0 1.0
108.0 0.0 1.0
108.5 2.0 0.0
109.0 1.0 0.0
109.33 0.0 1.0
110.5 0.0 1.0
111.67 0.0 1.0
112.5 0.0 1.0
113.0 1.0 2.0
114.17 1.0 0.0
114.83 0.0 1.0
115.0 0.0 1.0
115.5 0.0 1.0
116.33 1.0 0.0
116.67 0.0 1.0
117.4 1.0 0.0
117.5 0.0 1.0
118.6 0.0 1.0
119.5 1.0 0.0
120.33 1.0 0.0
120.67 0.0 1.0
121.0 2.0 0.0
122.0 1.0 0.0
122.5 0.0 1.0
123.0 2.0 1.0
124.0 3.0 0.0
124.5 2.0 0.0
125.5 0.0 1.0
126.0 1.0 0.0
126.75 1.0 0.0
127.0 0.0 2.0
127.5 0.0 1.0
128.0 1.0 0.0
128.5 1.0 0.0
129.5 0.0 1.0
130.5 0.0 1.0
131.0 0.0 1.0
131.5 1.0 1.0
134.33 1.0 0.0
134.67 0.0 1.0
135.0 1.0 1.0
135.5 1.0 0.0
136.67 0.0 1.0
137.0 1.0 0.0
137.25 1.0 0.0
137.5 0.0 5.0
141.0 1.0 0.0
143.5 1.0 0.0
144.0 0.0 1.0
145.0 1.0 1.0
146.0 1.0 0.0
147.5 1.0 1.0
147.75 0.0 1.0
148.0 1.0 0.0
149.0 0.0 1.0
150.0 1.0 0.0
152.5 0.0 1.0
153.75 1.0 0.0
154.0 0.0 3.0
154.5 1.0 0.0
156.0 1.0 1.0
156.5 1.0 0.0
157.0 0.0 1.0
157.5 2.0 0.0
159.0 2.0 0.0
159.5 0.0 1.0
160.0 1.0 0.0
161.0 1.0 0.0
161.33 1.0 0.0
161.67 0.0 1.0
162.0 1.0 0.0
163.0 2.0 0.0
164.0 0.0 1.0
164.5 0.0 1.0
166.0 0.0 2.0
167.0 0.0 1.0
169.0 0.0 1.0
170.0 0.0 1.0
170.33 1.0 0.0
171.67 0.0 1.0
172.0 0.0 1.0
174.33 1.0 0.0
177.33 0.0 1.0
178.0 1.0 0.0
179.0 0.0 1.0
181.0 1.0 1.0
183.0 1.0 0.0
184.0 0.0 1.0
185.5 0.0 1.0
194.0 1.0 0.0
200.0 0.0 1.0
203.0 1.0 0.0
204.0 0.0 1.0
207.0 1.0 0.0
211.0 0.0 1.0
215.0 1.0 0.0
216.0 0.0 1.0
229.0 1.0 0.0
232.0 1.0 0.0
236.0 0.0 1.0
237.0 0.0 1.0
245.0 0.0 1.0
265.0 0.0 1.0
310.0 1.0 0.0
321.0 0.0 1.0
366.0 1.0 0.0
367.0 0.0 1.0
381.0 1.0 0.0
382.0 0.0 1.0
555.0 1.0 0.0
561.0 0.0 1.0
