# Value  before after
21.0 1.0 0.0
22.0 2.0 0.0
23.0 2.0 3.0
24.0 1.0 2.0
25.0 3.0 1.0
26.0 4.0 3.0
27.0 3.0 3.0
28.0 6.0 4.0
29.0 2.0 6.0
30.0 5.0 2.0
31.0 2.0 5.0
32.0 4.0 2.0
33.0 4.0 4.0
34.0 6.0 4.0
35.0 4.0 6.0
36.0 6.0 4.0
37.0 5.0 6.0
38.0 5.0 5.0
39.0 3.0 5.0
40.0 5.0 3.0
41.0 4.0 5.0
42.0 3.0 4.0
43.0 4.0 3.0
44.0 4.0 4.0
45.0 2.0 4.0
46.0 1.0 2.0
47.0 3.0 1.0
48.0 1.0 3.0
49.0 5.0 1.0
50.0 3.0 5.0
51.0 1.0 3.0
52.0 4.0 1.0
53.0 1.0 4.0
54.0 2.0 1.0
55.0 3.0 2.0
56.0 2.0 3.0
57.0 1.0 2.0
58.0 0.0 1.0
59.0 1.0 0.0
60.0 4.0 1.0
61.0 1.0 4.0
62.0 0.0 1.0
63.0 4.0 0.0
64.0 2.0 4.0
65.0 1.0 2.0
66.0 2.0 1.0
67.0 0.0 1.0
68.0 1.0 1.0
69.0 1.0 1.0
70.0 0.0 1.0
71.0 1.0 0.0
72.0 0.0 1.0
73.0 1.0 0.0
74.0 0.0 1.0
75.0 1.0 0.0
76.0 0.0 1.0
77.0 1.0 0.0
78.0 0.0 1.0
81.0 3.0 0.0
82.0 0.0 3.0
87.0 1.0 0.0
88.0 1.0 1.0
89.0 1.0 1.0
90.0 0.0 1.0
92.0 1.0 0.0
93.0 0.0 1.0
111.0 1.0 0.0
112.0 0.0 1.0
115.0 1.0 0.0
116.0 0.0 1.0
