# Value  before after
29.0 1.0 0.0
30.0 0.0 1.0
31.33 1.0 0.0
32.0 0.0 1.0
32.5 1.0 0.0
33.0 1.0 0.0
33.5 0.0 1.0
34.0 0.0 1.0
37.0 1.0 0.0
38.0 0.0 1.0
41.0 1.0 0.0
41.67 0.0 1.0
42.5 1.0 0.0
43.5 1.0 1.0
44.5 0.0 1.0
46.0 1.0 0.0
46.67 1.0 0.0
47.0 1.0 1.0
47.33 0.0 1.0
47.67 0.0 1.0
48.5 1.0 0.0
49.5 0.0 1.0
52.0 1.0 0.0
52.67 1.0 1.0
53.33 0.0 1.0
53.5 1.0 0.0
54.5 1.0 1.0
55.5 0.0 1.0
56.0 1.0 0.0
56.5 1.0 0.0
56.67 1.0 0.0
57.33 0.0 1.0
57.5 0.0 1.0
58.0 2.0 1.0
58.67 1.0 0.0
59.0 0.0 2.0
59.33 0.0 1.0
60.5 1.0 0.0
61.25 1.0 0.0
61.5 0.0 1.0
61.67 1.0 0.0
61.75 0.0 1.0
62.0 1.0 0.0
62.33 0.0 1.0
62.67 0.0 1.0
63.5 1.0 0.0
64.5 0.0 1.0
64.83 1.0 0.0
65.17 0.0 1.0
65.57 1.0 0.0
65.86 0.0 1.0
66.5 1.0 0.0
67.0 1.0 0.0
67.5 0.0 1.0
68.0 2.0 0.0
68.25 1.0 0.0
68.5 1.0 1.0
68.75 0.0 1.0
69.0 1.0 1.0
69.5 1.0 2.0
70.0 0.0 1.0
70.5 0.0 1.0
73.5 1.0 0.0
74.5 0.0 1.0
75.0 2.0 0.0
76.0 0.0 2.0
78.0 1.0 0.0
78.17 1.0 0.0
78.5 0.0 1.0
81.5 1.0 0.0
82.0 0.0 1.0
82.5 0.0 1.0
83.0 1.0 0.0
85.0 1.0 1.0
85.33 1.0 0.0
85.47 1.0 0.0
85.5 1.0 0.0
85.59 0.0 1.0
86.0 1.0 2.0
86.5 1.0 1.0
86.67 0.0 1.0
87.0 2.0 0.0
87.5 0.0 1.0
88.0 1.0 0.0
88.5 1.0 0.0
89.0 0.0 3.0
89.5 0.0 1.0
90.0 1.0 0.0
91.0 0.0 1.0
92.0 1.0 0.0
93.0 0.0 1.0
94.0 1.0 0.0
94.67 1.0 1.0
95.0 1.0 0.0
95.33 0.0 1.0
95.5 1.0 0.0
96.0 0.0 1.0
96.5 0.0 1.0
97.0 1.0 0.0
97.5 1.0 0.0
98.0 2.0 1.0
99.0 0.0 1.0
99.5 1.0 0.0
100.0 0.0 2.0
100.5 1.0 1.0
101.5 0.0 1.0
102.5 1.0 0.0
103.67 1.0 0.0
104.0 1.0 0.0
104.33 0.0 1.0
104.5 0.0 1.0
104.67 0.0 1.0
105.0 2.0 0.0
105.25 1.0 0.0
105.75 0.0 1.0
106.0 0.0 2.0
106.5 1.0 0.0
107.0 2.0 0.0
107.5 0.0 1.0
108.5 1.0 0.0
109.0 0.0 2.0
109.5 0.0 1.0
110.33 1.0 0.0
111.0 0.0 1.0
111.2 1.0 0.0
111.33 1.0 0.0
111.6 0.0 1.0
112.0 3.0 1.0
113.0 0.0 2.0
114.0 2.0 1.0
114.5 1.0 0.0
114.67 2.0 0.0
115.0 1.0 2.0
115.33 0.0 2.0
115.5 1.0 1.0
116.5 1.0 1.0
117.5 0.0 1.0
118.0 1.0 0.0
118.67 0.0 1.0
119.0 1.0 1.0
119.5 1.0 0.0
120.5 0.0 1.0
121.0 0.0 1.0
123.0 2.0 0.0
123.67 0.0 1.0
124.0 1.0 1.0
124.5 1.0 0.0
125.0 1.0 0.0
125.5 0.0 1.0
126.0 0.0 2.0
127.0 2.0 0.0
128.0 0.0 2.0
132.0 1.0 0.0
134.0 1.0 0.0
135.5 1.0 0.0
136.0 1.0 2.0
136.5 0.0 1.0
137.25 1.0 0.0
137.67 1.0 0.0
137.75 0.0 1.0
138.0 0.0 1.0
138.33 0.0 1.0
141.5 1.0 0.0
142.0 1.0 0.0
142.5 0.0 1.0
144.0 0.0 1.0
146.5 1.0 0.0
147.5 1.0 1.0
148.0 0.0 1.0
148.5 1.0 0.0
149.5 0.0 1.0
153.0 1.0 0.0
154.0 1.0 0.0
155.0 0.0 1.0
156.0 0.0 1.0
159.5 1.0 0.0
160.5 0.0 1.0
161.0 1.0 0.0
162.0 2.0 0.0
163.0 2.0 2.0
165.0 0.0 3.0
168.5 1.0 0.0
169.5 0.0 1.0
170.0 1.0 0.0
172.0 0.0 1.0
175.5 1.0 0.0
176.0 1.0 0.0
176.5 1.0 1.0
177.5 0.0 1.0
178.0 1.0 1.0
182.0 1.0 1.0
184.0 0.0 1.0
188.0 1.0 0.0
189.0 1.0 0.0
190.0 0.0 1.0
191.0 0.0 1.0
197.0 2.0 0.0
199.0 0.0 2.0
200.0 1.0 0.0
202.0 0.0 1.0
204.0 1.0 0.0
206.0 0.0 1.0
217.0 1.0 0.0
219.0 0.0 1.0
220.0 1.0 0.0
222.0 0.0 1.0
241.0 1.0 0.0
243.0 0.0 1.0
244.0 1.0 0.0
246.0 0.0 1.0
250.0 2.0 0.0
251.0 0.0 1.0
252.0 0.0 1.0
265.0 1.0 0.0
267.0 0.0 1.0
280.0 1.0 0.0
282.0 0.0 1.0
290.0 1.0 0.0
292.0 0.0 1.0
321.5 1.0 0.0
322.5 0.0 1.0
323.0 1.0 0.0
325.0 0.0 1.0
484.0 1.0 0.0
486.0 0.0 1.0
