# Value  before after
16.0 1.0 0.0
17.0 2.0 1.0
18.0 0.0 2.0
19.0 2.0 0.0
20.0 6.0 1.0
21.0 2.0 6.0
22.0 1.0 3.0
23.0 4.0 1.0
24.0 1.0 4.0
25.0 4.0 1.0
26.0 5.0 2.0
27.0 6.0 7.0
28.0 8.0 5.0
29.0 3.0 9.0
30.0 4.0 3.0
31.0 3.0 3.0
32.0 7.0 4.0
33.0 8.0 7.0
34.0 5.0 8.0
35.0 2.0 5.0
36.0 5.0 2.0
37.0 2.0 5.0
38.0 5.0 2.0
39.0 1.0 5.0
40.0 7.0 1.0
41.0 3.0 7.0
42.0 2.0 3.0
43.0 4.0 2.0
44.0 0.0 4.0
45.0 1.0 0.0
46.0 2.0 1.0
47.0 3.0 2.0
48.0 2.0 3.0
49.0 2.0 2.0
50.0 1.0 2.0
51.0 1.0 1.0
52.0 3.0 1.0
53.0 1.0 3.0
54.0 2.0 1.0
55.0 3.0 2.0
56.0 4.0 3.0
57.0 2.0 4.0
58.0 0.0 2.0
59.0 1.0 0.0
60.0 1.0 1.0
61.0 1.0 1.0
62.0 1.0 1.0
63.0 0.0 1.0
69.0 2.0 0.0
70.0 1.0 2.0
71.0 1.0 1.0
72.0 1.0 1.0
73.0 1.0 1.0
74.0 0.0 1.0
75.0 1.0 0.0
76.0 0.0 1.0
78.0 1.0 0.0
79.0 0.0 1.0
81.0 1.0 0.0
82.0 0.0 1.0
115.0 1.0 0.0
116.0 0.0 1.0
