# Value  before after
5.95 1.0 1.0
6.93 1.0 1.0
7.7 1.0 1.0
7.75 1.0 1.0
8.38 1.0 1.0
8.44 1.0 1.0
9.15 1.0 1.0
9.4 1.0 1.0
9.5 1.0 1.0
9.56 1.0 1.0
10.33 2.0 2.0
10.5 1.0 1.0
10.59 1.0 1.0
12.0 3.0 3.0
12.5 2.0 2.0
12.6 1.0 1.0
12.78 1.0 1.0
12.8 2.0 2.0
13.0 2.0 2.0
13.2 3.0 3.0
13.31 1.0 1.0
13.33 1.0 1.0
13.75 1.0 1.0
14.0 1.0 1.0
14.2 2.0 2.0
14.33 1.0 1.0
14.4 3.0 3.0
14.43 1.0 1.0
14.8 1.0 1.0
15.0 6.0 6.0
15.14 1.0 1.0
15.25 3.0 3.0
15.5 1.0 1.0
15.67 1.0 1.0
15.75 2.0 2.0
16.0 1.0 1.0
16.33 1.0 1.0
16.67 1.0 1.0
16.75 5.0 5.0
17.0 1.0 1.0
17.25 3.0 3.0
17.33 1.0 1.0
17.5 1.0 1.0
17.67 0.0 1.0
17.8 1.0 1.0
18.0 1.0 1.0
18.22 1.0 1.0
18.25 1.0 1.0
19.0 1.0 1.0
19.5 1.0 1.0
19.67 1.0 2.0
19.75 1.0 1.0
20.0 2.0 2.0
20.2 1.0 1.0
20.57 2.0 2.0
20.67 3.0 3.0
21.0 5.0 5.0
21.14 1.0 1.0
21.75 1.0 1.0
21.83 1.0 1.0
22.0 1.0 1.0
22.29 1.0 1.0
22.4 1.0 1.0
22.5 1.0 1.0
22.71 1.0 1.0
23.0 1.0 1.0
24.0 1.0 1.0
24.67 1.0 1.0
25.0 1.0 0.0
26.0 1.0 1.0
26.5 1.0 1.0
28.0 1.0 0.0
28.2 1.0 1.0
29.0 1.0 1.0
29.2 1.0 1.0
29.4 2.0 2.0
30.2 1.0 1.0
30.8 1.0 1.0
33.25 1.0 1.0
33.5 1.0 1.0
33.75 1.0 1.0
34.0 1.0 1.0
34.17 1.0 1.0
34.75 1.0 1.0
36.0 3.0 3.0
36.25 1.0 1.0
36.5 1.0 1.0
37.5 1.0 1.0
37.75 1.0 1.0
38.0 2.0 2.0
41.83 1.0 1.0
42.0 1.0 1.0
42.33 1.0 1.0
43.5 1.0 1.0
44.0 1.0 1.0
44.67 2.0 2.0
45.0 2.0 2.0
46.33 1.0 1.0
48.0 1.0 1.0
48.25 1.0 1.0
48.67 2.0 2.0
53.67 1.0 1.0
62.0 1.0 1.0
70.25 1.0 1.0
75.75 1.0 1.0
120.33 1.0 1.0
176.29 1.0 1.0
289.67 1.0 1.0
677.33 1.0 1.0
917.0 1.0 1.0
1361.33 1.0 1.0
