# Value  before after
5.0 1.0 0.0
6.0 6.0 1.0
7.0 1.0 6.0
8.0 7.0 1.0
9.0 8.0 7.0
10.0 10.0 8.0
11.0 19.0 10.0
12.0 13.0 19.0
13.0 10.0 13.0
14.0 11.0 10.0
15.0 4.0 11.0
16.0 6.0 4.0
17.0 5.0 6.0
18.0 4.0 5.0
19.0 3.0 4.0
20.0 2.0 3.0
21.0 0.0 2.0
22.0 2.0 0.0
23.0 3.0 2.0
24.0 4.0 3.0
25.0 1.0 4.0
26.0 1.0 1.0
27.0 2.0 1.0
28.0 3.0 2.0
29.0 2.0 3.0
30.0 0.0 2.0
31.0 1.0 0.0
32.0 3.0 1.0
33.0 0.0 3.0
34.0 1.0 0.0
35.0 2.0 1.0
36.0 0.0 2.0
38.0 1.0 0.0
39.0 1.0 1.0
40.0 0.0 1.0
45.0 1.0 0.0
46.0 0.0 1.0
48.0 1.0 0.0
49.0 0.0 1.0
57.0 1.0 0.0
58.0 0.0 1.0
65.0 1.0 0.0
66.0 0.0 1.0
82.0 1.0 0.0
83.0 0.0 1.0
110.0 1.0 0.0
111.0 1.0 1.0
112.0 0.0 1.0
165.0 1.0 0.0
166.0 0.0 1.0
675.0 1.0 0.0
676.0 0.0 1.0
824.0 1.0 0.0
825.0 0.0 1.0
866.0 1.0 0.0
867.0 0.0 1.0
924.0 1.0 0.0
925.0 0.0 1.0
1378.0 1.0 0.0
1379.0 0.0 1.0
