# Value  before after
3.0 67.0 0.0
4.0 28.0 67.0
5.0 6.0 28.0
6.0 6.0 6.0
7.0 7.0 6.0
8.0 4.0 7.0
9.0 2.0 4.0
10.0 0.0 2.0
11.0 6.0 0.0
12.0 1.0 6.0
13.0 1.0 1.0
14.0 1.0 1.0
15.0 2.0 1.0
16.0 1.0 2.0
17.0 1.0 1.0
18.0 1.0 1.0
19.0 0.0 1.0
22.0 1.0 0.0
23.0 0.0 1.0
26.0 1.0 0.0
27.0 0.0 1.0
29.0 1.0 0.0
30.0 1.0 1.0
31.0 0.0 1.0
33.0 1.0 0.0
34.0 0.0 1.0
40.0 1.0 0.0
41.0 0.0 1.0
45.0 1.0 0.0
46.0 0.0 1.0
47.0 1.0 0.0
48.0 0.0 1.0
50.0 1.0 0.0
51.0 2.0 1.0
52.0 0.0 2.0
58.0 1.0 0.0
59.0 0.0 1.0
60.0 1.0 0.0
61.0 0.0 1.0
63.0 1.0 0.0
64.0 0.0 1.0
93.0 1.0 0.0
94.0 0.0 1.0
97.0 1.0 0.0
98.0 0.0 1.0
