# Value  before after
2.0 3.0 0.0
3.0 2.0 3.0
4.0 2.0 0.0
5.0 0.0 2.0
6.0 1.0 0.0
7.0 0.0 1.0
8.0 0.0 1.0
10.0 1.0 0.0
11.0 0.0 1.0
12.0 1.0 1.0
13.0 2.0 0.0
14.0 2.0 0.0
15.0 0.0 1.0
17.0 0.0 1.0
18.0 0.0 1.0
22.0 1.0 0.0
23.0 1.0 1.0
24.0 0.0 1.0
25.0 2.0 0.0
26.0 0.0 2.0
28.0 1.0 1.0
29.0 0.0 1.0
31.0 1.0 0.0
32.0 0.0 2.0
33.0 1.0 0.0
34.0 2.0 0.0
35.0 0.0 2.0
36.0 0.0 1.0
58.0 1.0 0.0
59.0 1.0 1.0
62.0 0.0 1.0
64.0 1.0 0.0
65.0 1.0 1.0
67.0 0.0 1.0
72.0 1.0 0.0
73.0 0.0 1.0
76.0 1.0 0.0
79.0 0.0 1.0
91.0 1.0 0.0
92.0 0.0 1.0
110.0 1.0 0.0
111.0 0.0 1.0
132.0 1.0 0.0
133.0 0.0 1.0
175.0 1.0 0.0
176.0 0.0 1.0
177.0 1.0 0.0
178.0 0.0 1.0
181.0 1.0 0.0
182.0 0.0 1.0
362.0 1.0 0.0
365.0 0.0 1.0
461.0 1.0 0.0
469.0 1.0 0.0
470.0 0.0 1.0
473.0 1.0 0.0
475.0 0.0 1.0
476.0 0.0 1.0
644.0 1.0 0.0
646.0 1.0 1.0
648.0 0.0 1.0
679.0 1.0 0.0
683.0 0.0 1.0
746.0 1.0 0.0
747.0 0.0 1.0
885.0 1.0 0.0
887.0 0.0 1.0
888.0 1.0 0.0
890.0 0.0 1.0
1417.0 1.0 0.0
1420.0 0.0 1.0
1856.0 1.0 0.0
1857.0 0.0 1.0
2194.0 1.0 0.0
2198.0 0.0 1.0
3495.0 1.0 0.0
3503.0 0.0 1.0
4013.0 1.0 0.0
4015.0 0.0 1.0
6742.0 1.0 0.0
6743.0 0.0 1.0
7848.0 1.0 0.0
7850.0 0.0 1.0
8698.0 1.0 0.0
8700.0 0.0 1.0
